scenario,level,agent,run_count,sharpe_mean,sharpe_std,sharpe_ci_low,sharpe_ci_high,return_mean,rank
calm,E0_ideal,buy-and-hold,10,23.38072303137593,3.910335013581166,21.123462917034445,25.611246470610087,0.09323299518700723,1
calm,E0_ideal,mean-reversion,10,2.2576038953812243,2.6574161610843143,0.8444098658379415,3.896078940918245,0.00226523536088723,8
calm,E0_ideal,minimum-variance,10,23.32328040812185,3.879896267450385,21.096496589518576,25.55631160747392,0.09315670518975523,2
calm,E0_ideal,naive-momentum,10,19.889266586964105,2.5558330404808287,18.40374746802147,21.37911954808441,0.07968971254197914,5
calm,E0_ideal,no-trade-band,10,23.08310905006659,3.781485133214749,20.893251959161788,25.255772632241875,0.08956395769652563,4
calm,E0_ideal,random,10,16.363583340054166,3.017365326756269,14.462444006730857,18.052798959236632,0.06212462652950566,6
calm,E0_ideal,risk-parity,10,23.113156035199488,3.8031866675530135,20.900763369288548,25.280328201845638,0.08959683354304751,3
calm,E0_ideal,signal-weighted,10,8.402197864660916,2.1474414575296827,7.120051346320143,9.71192436270386,0.0202811095926414,7
calm,E1_default_stress,buy-and-hold,10,16.687319256294202,2.3258873276390704,15.351084746861593,18.13006348885495,0.08852658461026035,1
calm,E1_default_stress,mean-reversion,10,2.713712998323601,3.2567412518855936,0.9182779768260737,4.829080332557057,0.004072487266453284,8
calm,E1_default_stress,minimum-variance,10,15.310841006063104,1.8706740108284203,14.259133359616447,16.46279956875761,0.08528417069117578,2
calm,E1_default_stress,naive-momentum,10,15.24807570812483,2.9409877324289506,13.623669478313966,17.03957861994415,0.0732391068572525,3
calm,E1_default_stress,no-trade-band,10,15.201476562467509,2.428584491716557,13.842516169643167,16.73380620948833,0.08025979693162208,5
calm,E1_default_stress,random,10,11.735335330409816,3.0691464753801747,9.98273022724569,13.67177485357556,0.05444462150790115,6
calm,E1_default_stress,risk-parity,10,15.226491251806085,2.4283834417251975,13.868241396028719,16.75440657022698,0.0800048377166482,4
calm,E1_default_stress,signal-weighted,10,6.402046482576935,2.6615196528358585,4.9591382712058545,8.026621321038046,0.010253143844383361,7
calm,E2_harsh_corner,buy-and-hold,10,14.493539868772299,3.3029459472251133,12.594246899312822,16.409048225217028,0.0722697421087396,4
calm,E2_harsh_corner,mean-reversion,10,3.7175762152217766,4.187798977996283,1.477684401929034,6.353410023378009,0.010590444848194514,8
calm,E2_harsh_corner,minimum-variance,10,14.954051843043601,3.052002522839366,13.118237426494982,16.60114176341485,0.07405678915838754,1
calm,E2_harsh_corner,naive-momentum,10,13.315579842957813,2.1332078078840016,12.039434562611493,14.47851894802129,0.07763189328802982,5
calm,E2_harsh_corner,no-trade-band,10,14.658454280417606,3.1495274156633135,12.757057945838628,16.40273138741985,0.07205109011987254,2
calm,E2_harsh_corner,random,10,12.162891309375357,3.352942579989128,10.232107673103288,14.173629317985235,0.0599078551589612,6
calm,E2_harsh_corner,risk-parity,10,14.655201729100458,3.149190910933514,12.752556896279117,16.401404772313757,0.07203367186389305,3
calm,E2_harsh_corner,signal-weighted,10,7.4364706067976325,2.9130226414685207,5.654826846144092,9.011279492773571,0.016799098882548113,7
calm,E2_latency_3,buy-and-hold,10,14.99240559008724,3.364920397343363,13.050204514628401,16.94746267502513,0.07418307541098561,4
calm,E2_latency_3,mean-reversion,10,3.9483557163899192,4.421306646781657,1.5693052688371192,6.709606899102089,0.011266527900678081,8
calm,E2_latency_3,minimum-variance,10,15.4516877019724,3.0875634817346103,13.592631209530023,17.095067262635247,0.07596595063863296,1
calm,E2_latency_3,naive-momentum,10,13.684949480329518,2.1297211933336238,12.408935432600927,14.850739363492355,0.07998061027399117,5
calm,E2_latency_3,no-trade-band,10,15.153580348873112,3.1901466233186344,13.225025470458704,16.925680039199015,0.07400358342909567,2
calm,E2_latency_3,random,10,12.646427809335927,3.390846654669109,10.692705353352938,14.660504649179808,0.062109600948124365,6
calm,E2_latency_3,risk-parity,10,15.151701061426689,3.1894954424164386,13.221341248404332,16.924438272042398,0.07399097211276211,3
calm,E2_latency_3,signal-weighted,10,7.899604331548581,2.9257360889838457,6.127437636986018,9.484772084884307,0.01770935062231589,7
calm,E2_participation_1pct,buy-and-hold,10,16.687319256294202,2.3258873276390704,15.351084746861593,18.13006348885495,0.08852658461026035,1
calm,E2_participation_1pct,mean-reversion,10,2.713712998323601,3.2567412518855936,0.9182779768260737,4.829080332557057,0.004072487266453284,8
calm,E2_participation_1pct,minimum-variance,10,15.310841006063104,1.8706740108284203,14.259133359616447,16.46279956875761,0.08528417069117578,2
calm,E2_participation_1pct,naive-momentum,10,15.24807570812483,2.9409877324289506,13.623669478313966,17.03957861994415,0.0732391068572525,3
calm,E2_participation_1pct,no-trade-band,10,15.201476562467509,2.428584491716557,13.842516169643167,16.73380620948833,0.08025979693162208,5
calm,E2_participation_1pct,random,10,11.735335330409816,3.0691464753801747,9.98273022724569,13.67177485357556,0.05444462150790115,6
calm,E2_participation_1pct,risk-parity,10,15.226491251806085,2.4283834417251975,13.868241396028719,16.75440657022698,0.0800048377166482,4
calm,E2_participation_1pct,signal-weighted,10,6.402046482576935,2.6615196528358585,4.9591382712058545,8.026621321038046,0.010253143844383361,7
