scenario_id,contamination_tier,baseline_level,comparison_level,agent_count,rank_metric,kendall_tau,top_k,top_k_jaccard,mean_return_delta_vs_e0,mean_fill_rate_delta_vs_e0,mean_intent_execution_gap_delta_vs_e0,mean_slippage_delta_vs_e0
synthetic_jump_tail_c0_v0_3,C0,E0,E1,7,sharpe_mean,0.809524,3,1.0,-0.014688,-0.121348,0.22689,2373.646022
synthetic_jump_tail_c0_v0_3,C0,E0,E2,7,sharpe_mean,0.714286,3,1.0,-0.016316,-0.40767,0.364642,2193.266356
