model,tasks,parse_failures,invalid_kinds,duplicate_findings,true_positives,false_positives,false_negatives,micro_precision,micro_recall,micro_f1,exact_set_accuracy
deepseek:deepseek-v4-pro,300,7,0,65,267,1528,33,0.14874651810584957,0.89,0.25489260143198095,0.09666666666666666
glm:glm-5,300,2,1,49,200,804,100,0.199203187250996,0.6666666666666666,0.3067484662576687,0.36
