universe,model,baseline_label,scenario_count,avg_return,worst_drawdown,avg_sharpe,avg_fill_rate,total_rejected_orders,total_risk_edits,avg_alpha_quality,avg_risk_discipline,avg_execution_robustness
real_market,risk_parity,Risk parity,2,0.07606750841556009,-0.046742470278478776,4.636068981074416,0.8611111111111112,4,0,0.6151027680705597,0.8194444444444444,0.7620293894372677
real_market,min_var,Minimum variance,2,0.06123670133627768,-0.05988608735050993,3.6665814366847034,0.8417487684729064,5,0,0.8311998357578865,0.02777777777777779,0.746750406247985
real_market,markowitz_mvo,Markowitz MVO,2,0.05065291836775987,-0.05146674162143172,3.2718146911159316,0.7900246305418719,7,0,0.6968597954022284,0.013888888888888895,0.7147910918072531
real_market,buy_and_hold,Buy and hold,2,0.02534992270546138,-0.16871853511178347,2.2690138286007318,0.788888888888889,9,0,0.5814767218232694,0.8472222222222223,0.7762254112990492
real_market,equal_weight,Equal weight,2,0.024057317387125632,-0.16885092785412303,2.223537060519217,0.8333333333333334,6,0,0.5814767218232694,0.8333333333333333,0.7907136516368296
real_market,always_hold,Always hold,2,0.0,0.0,0.0,0.0,0,0,0.3416666666666667,1.0,1.0
real_market,random,Random,2,-0.00017896567038389044,-0.1115978965989346,0.7248152794190521,0.7142857142857143,14,0,0.6697411832275271,0.0,0.5860178981977839
real_market,mean_reversion,Mean reversion,2,-0.025195347455559125,-0.09843711773194863,-0.5461598174024893,0.75,6,0,0.8739505059806886,0.0,0.711420871314469
real_market,naive_momentum,Naive momentum,2,-0.06376193338824337,-0.15379826076953995,-1.6976021450401417,0.6717506631299734,12,0,0.4569925219037082,0.0,0.6679144202444716
synthetic,buy_and_hold,Buy and hold,6,0.029999779482181726,-0.020281957131582873,6.6305806769934135,0.6958333333333333,11,96,0.861660529615881,0.4479166666666667,0.7222102203738063
synthetic,min_var,Minimum variance,6,0.027188793236778475,-0.03821073838806466,4.8850100908325365,0.71875,9,0,0.8175573453013261,0.8229166666666666,0.7136259520629862
synthetic,risk_parity,Risk parity,6,0.01847384729083192,-0.03418154508573645,3.759349326369757,0.71875,9,0,0.8115575358158403,0.9479166666666666,0.7255313560151309
synthetic,equal_weight,Equal weight,6,0.017561302445861238,-0.03259688190119414,3.814708821460082,0.7062499999999999,10,0,0.8166461227111587,0.9479166666666666,0.7259972691791209
synthetic,markowitz_mvo,Markowitz MVO,6,0.01687379625925543,-0.03602256116928271,2.8540440357253853,0.6534722222222222,15,0,0.7762050462909841,0.5104166666666666,0.6802263578089586
synthetic,naive_momentum,Naive momentum,6,0.007492917764231666,-0.03805515654184377,3.5104703773396673,0.6741452991452991,5,0,0.7016380132316712,0.0625,0.705126845164802
synthetic,random,Random,6,0.004622325836115974,-0.03919855744781997,0.35398610235397104,0.6743055555555556,11,0,0.7818510358518109,0.3854166666666667,0.6712068880092202
synthetic,mean_reversion,Mean reversion,6,0.0014536838840449502,-0.052124532250713895,1.6703340593083158,0.7444444444444445,3,0,0.6427657229735153,0.0,0.7810265944948457
synthetic,always_hold,Always hold,6,0.0,0.0,0.0,0.0,0,0,0.3416666666666666,1.0,1.0
