universe,scenario_key,scenario_id,scenario_label,provider,model,baseline_label,baseline_family,strategy,data_source,frequency,symbols,data_hash,total_return,max_drawdown,sharpe,execution_fill_rate,rejected_order_count,risk_clipped_decisions,risk_violation_count,trajectory_reproducibility_coverage,alpha_pre_risk_total_return,alpha_pre_risk_sharpe,alpha_pre_risk_hit_rate,alpha_pre_risk_steps,alpha_quality_score,risk_discipline_score,execution_robustness_score
synthetic,high_vol,leaderboard_llm_high_vol_synthetic_v0_1,High volatility,deterministic,mean_reversion,Mean reversion,contrarian,mean-reversion,synthetic-market,daily,SYN;ALT,sha256:synthetic-high_vol-seed-17-symbols-SYN-ALT-periods-8,0.0187895255928916,-0.0014544029056052787,5.445713940705007,0.8333333333333334,1,0,13,1.0,0.011201920925833386,21.682929265327104,1.0,3,0.8002043220831252,0.0,0.8196454232933296
synthetic,high_vol,leaderboard_llm_high_vol_synthetic_v0_1,High volatility,deterministic,risk_parity,Risk parity,volatility_weighted,risk-parity,synthetic-market,daily,SYN;ALT,sha256:synthetic-high_vol-seed-17-symbols-SYN-ALT-periods-8,-0.0014623689453864275,-0.009161879273335116,-0.586051050451872,0.8125,1,0,0,1.0,0.02229744765985764,7.056049296387247,0.7142857142857143,7,0.7680264000918225,1.0,0.841006170753326
synthetic,high_vol,leaderboard_llm_high_vol_synthetic_v0_1,High volatility,deterministic,min_var,Minimum variance,covariance_weighted,min-var,synthetic-market,daily,SYN;ALT,sha256:synthetic-high_vol-seed-17-symbols-SYN-ALT-periods-8,0.0039762816675714685,-0.009632296757136505,1.7250791908211562,0.8125,1,0,1,1.0,0.024478740543717237,7.773840732881984,0.7142857142857143,7,0.7729343090805066,0.8125,0.8181609689325647
synthetic,high_vol,leaderboard_llm_high_vol_synthetic_v0_1,High volatility,deterministic,markowitz_mvo,Markowitz MVO,mean_variance_weighted,markowitz-mvo,synthetic-market,daily,SYN;ALT,sha256:synthetic-high_vol-seed-17-symbols-SYN-ALT-periods-8,-0.014944104647499623,-0.014944104647499623,-10.180509707629355,0.7333333333333333,2,0,3,1.0,0.006670366150102858,2.230036888351301,0.42857142857142855,7,0.5724747613725097,0.4375,0.7658366364373262
synthetic,jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,deterministic,always_hold,Always hold,lower_anchor,always-hold,synthetic-market,daily,SYN;ALT,sha256:synthetic-jump_tail-seed-29-symbols-SYN-ALT-periods-8,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0,0.3416666666666667,1.0,1.0
synthetic,jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,deterministic,random,Random,lower_anchor,random,synthetic-market,daily,SYN;ALT,sha256:synthetic-jump_tail-seed-29-symbols-SYN-ALT-periods-8,0.010414665671663936,-0.034183216265984195,1.4031168576768898,0.75,2,0,7,1.0,0.04036493751856818,9.46971024090212,0.5,6,0.7658211094167784,0.3125,0.7447680605004656
synthetic,jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,deterministic,buy_and_hold,Buy and hold,passive,buy-and-hold,synthetic-market,daily,SYN;ALT,sha256:synthetic-jump_tail-seed-29-symbols-SYN-ALT-periods-8,0.028106722747016866,-0.0040143342861805875,8.515733374793047,0.8125,1,16,5,1.0,0.068946073299748,10.159749692367635,0.5714285714285714,7,0.8444143792101473,0.1875,0.8239825151022844
synthetic,jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,deterministic,equal_weight,Equal weight,passive_rebalance,equal-weight,synthetic-market,daily,SYN;ALT,sha256:synthetic-jump_tail-seed-29-symbols-SYN-ALT-periods-8,0.011847154428441087,-0.02765398941033992,1.804853741719468,0.8125,1,0,5,1.0,0.0479931984440547,10.159749692367637,0.5714285714285714,7,0.7972704107848374,0.6875,0.8188418709997034
synthetic,jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,deterministic,naive_momentum,Naive momentum,trend_following,naive-momentum,synthetic-market,daily,SYN;ALT,sha256:synthetic-jump_tail-seed-29-symbols-SYN-ALT-periods-8,0.011656908391074916,-0.014754306432723796,2.929745761557377,0.6923076923076923,2,0,6,1.0,0.016441179822915597,3.205467341136711,0.5,6,0.6656449161678683,0.25,0.7323868497436047
synthetic,jump_tail,leaderboard_llm_jump_tail_synthetic_v0_1,Jump and tail risk,deterministic,mean_reversion,Mean reversion,contrarian,mean-reversion,synthetic-market,daily,SYN;ALT,sha256:synthetic-jump_tail-seed-29-symbols-SYN-ALT-periods-8,0.007702590772209916,-0.0019282743128761215,6.289828642571158,0.6666666666666666,0,0,16,1.0,0.014976519591281212,0.0,1.0,1,0.5753638357470494,0.0,0.7954294364640395
