agent,kind,risk,dose,configured_dose,outcome,paired_n,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
glm:glm-5,fake_violations,max-position,0.25,0.25,hold_ratio,10,0.0125,-0.0006944444444444475,0.030555555555555558,0.203125,0.65,0.4537975356806496
glm:glm-5,fake_violations,max-position,0.75,0.75,hold_ratio,30,0.011805555555555554,0.004629629629629626,0.01967592592592593,0.005997001499250375,0.07676161919040479,0.5487712076120504
glm:glm-5,fake_violations,none,0.25,0.25,hold_ratio,10,0.004166666666666671,-0.006944444444444436,0.01666666666666667,0.59375,0.9193548387096774,0.2145290825802585
glm:glm-5,fake_violations,none,0.75,0.75,hold_ratio,30,0.016666666666666666,0.00856481481481481,0.02546296296296296,0.0014992503748125937,0.0239880059970015,0.670820393249937
poe:claude-opus-4.7,fake_rejections,max-position,0.25,0.25,hold_ratio,10,-0.002083333333333332,-0.01111111111111111,0.0055555555555555575,0.75,0.9795918367346939,-0.14212494941734463
poe:claude-opus-4.7,fake_rejections,max-position,0.75,0.75,hold_ratio,30,-0.0013888888888888905,-0.005092592592592594,0.0020833333333333346,0.5432283858070964,0.8619822320244835,-0.13379549531991453
poe:claude-opus-4.7,fake_rejections,none,0.25,0.25,hold_ratio,10,0.0,-0.004166666666666668,0.004166666666666668,1.0,1.0,0.0
poe:claude-opus-4.7,fake_rejections,none,0.75,0.75,hold_ratio,30,-0.0011574074074074065,-0.004629629629629628,0.002314814814814815,0.6106946526736632,0.9302325581395349,-0.1176821679170393
poe:claude-opus-4.7,fake_violations,max-position,0.25,0.25,hold_ratio,10,-0.002777777777777776,-0.009722222222222219,0.002777777777777779,0.625,0.9302325581395349,-0.2656844656620284
poe:claude-opus-4.7,fake_violations,max-position,0.75,0.75,hold_ratio,30,0.0006944444444444438,-0.003935185185185183,0.005324074074074072,0.8455772113943029,1.0,0.051651653257844744
poe:claude-opus-4.7,fake_violations,none,0.25,0.25,hold_ratio,10,-0.0013888888888888896,-0.004166666666666668,0.0,1.0,1.0,-0.31622776601683794
