scenario,level,agent,run_count,sharpe_mean,sharpe_std,sharpe_ci_low,sharpe_ci_high,return_mean,rank
calm,E0_ideal,buy-and-hold,10,23.38072303137593,3.910335013581166,21.123462917034445,25.611246470610087,0.09323299518700723,1
calm,E0_ideal,deepseek:deepseek-v4-pro+mem,10,10.926418581212195,6.954903071084866,7.106681710046796,15.189292872309675,0.0347712199818407,6
calm,E0_ideal,mean-reversion,10,2.2576038953812243,2.6574161610843143,0.8444098658379415,3.896078940918245,0.00226523536088723,9
calm,E0_ideal,memory-aware,10,8.402197864660916,2.1474414575296827,7.120051346320143,9.71192436270386,0.0202811095926414,7
calm,E0_ideal,minimum-variance,10,23.32328040812185,3.879896267450385,21.096496589518576,25.55631160747392,0.09315670518975523,2
calm,E0_ideal,naive-momentum,10,19.889266586964105,2.5558330404808287,18.40374746802147,21.37911954808441,0.07968971254197914,4
calm,E0_ideal,random,10,16.363583340054166,3.017365326756269,14.462444006730857,18.052798959236632,0.06212462652950566,5
calm,E0_ideal,risk-parity,10,23.113156035199488,3.8031866675530135,20.900763369288548,25.280328201845638,0.08959683354304751,3
calm,E0_ideal,signal-weighted,10,8.402197864660916,2.1474414575296827,7.120051346320143,9.71192436270386,0.0202811095926414,8
calm,E1_default_stress,buy-and-hold,10,16.687319256294202,2.3258873276390704,15.351084746861593,18.13006348885495,0.08852658461026035,1
calm,E1_default_stress,deepseek:deepseek-v4-pro+mem,10,7.568719624753487,7.926896421393649,2.7137149811744727,11.723579224448985,0.041369017626348724,6
calm,E1_default_stress,mean-reversion,10,2.713712998323601,3.2567412518855936,0.9182779768260737,4.829080332557057,0.004072487266453284,9
calm,E1_default_stress,memory-aware,10,6.407180507395628,2.657466532913733,4.9627974643242245,8.031755345856741,0.010274770501929043,7
calm,E1_default_stress,minimum-variance,10,15.310841006063104,1.8706740108284203,14.259133359616447,16.46279956875761,0.08528417069117578,2
calm,E1_default_stress,naive-momentum,10,15.24807570812483,2.9409877324289506,13.623669478313966,17.03957861994415,0.0732391068572525,3
calm,E1_default_stress,random,10,11.735335330409816,3.0691464753801747,9.98273022724569,13.67177485357556,0.05444462150790115,5
calm,E1_default_stress,risk-parity,10,15.226491251806085,2.4283834417251975,13.868241396028719,16.75440657022698,0.0800048377166482,4
calm,E1_default_stress,signal-weighted,10,6.402046482576935,2.6615196528358585,4.9591382712058545,8.026621321038046,0.010253143844383361,8
calm,E2_harsh_corner,buy-and-hold,10,14.493539868772299,3.3029459472251133,12.594246899312822,16.409048225217028,0.0722697421087396,3
