agent,outcome,family,paired_n,mean_interaction,ci_low,ci_high,permutation_p_value,q_value,cohens_d
deepseek:deepseek-v4-pro,hold_ratio,primary,30,0.14675925925925926,0.08981481481481482,0.20787037037037032,0.0004997501249375312,0.0006663334999167083,0.8440660511863961
glm:glm-5,hold_ratio,primary,30,0.009722222222222214,0.0009259259259259236,0.018981481481481457,0.04247876061969016,0.04247876061969016,0.3831416456888456
deepseek:deepseek-v4-pro,mean_gross_target_exposure,primary,30,-0.21090277777777783,-0.29555555555555557,-0.1330555555555556,0.0004997501249375312,0.0006663334999167083,-0.8760842449917382
glm:glm-5,mean_gross_target_exposure,primary,30,-0.043541666666666624,-0.05599537037037036,-0.03127314814814808,0.0004997501249375312,0.0006663334999167083,-1.2081264340264501
deepseek:deepseek-v4-pro,turnover_events,exploratory,30,-3.0222222222222226,-5.388888888888889,-0.5666666666666671,0.021989005497251374,,-0.433224364652734
glm:glm-5,turnover_events,exploratory,30,1.4111111111111114,-0.2777777777777782,3.0,0.12343828085957022,,0.29782155519774317
deepseek:deepseek-v4-pro,total_return,exploratory,30,-0.05983956360281164,-0.09060713443277256,-0.029350686090040854,0.0004997501249375312,,-0.6968228630910402
glm:glm-5,total_return,exploratory,30,-0.002847820070447768,-0.008273306342956106,0.0033450249603444245,0.34332833583208394,,-0.1686880193206137
