mode,agent,outcome,sample_0_delta,sample_1_delta,sample_2_delta,leave_one_seed_out_min,leave_one_seed_out_max
instructed,deepseek:deepseek-v4-pro,hold_ratio,0.22916666666666666,0.2722222222222222,0.1909722222222222,0.21551724137931033,0.23922413793103448
instructed,glm:glm-5,hold_ratio,0.024305555555555556,0.026388888888888892,0.008333333333333333,0.017959770114942528,0.021072796934865898
neutral,deepseek:deepseek-v4-pro,hold_ratio,0.09444444444444446,0.09444444444444446,0.06319444444444444,0.0735153256704981,0.08979885057471265
neutral,glm:glm-5,hold_ratio,0.0125,0.011805555555555557,0.005555555555555558,0.008860153256704988,0.01101532567049809
instructed,deepseek:deepseek-v4-pro,mean_gross_target_exposure,-0.34201388888888895,-0.41673611111111114,-0.2989583333333333,-0.3646312260536399,-0.33215996168582385
instructed,glm:glm-5,mean_gross_target_exposure,-0.06333333333333331,-0.07798611111111112,-0.05694444444444445,-0.06803160919540227,-0.06340996168582373
neutral,deepseek:deepseek-v4-pro,mean_gross_target_exposure,-0.1523611111111111,-0.15819444444444442,-0.11444444444444442,-0.14971264367816092,-0.12638888888888888
neutral,glm:glm-5,mean_gross_target_exposure,-0.02881944444444445,-0.024652777777777798,-0.014166666666666645,-0.0247365900383142,-0.020761494252873592
