family_key,family_label,rows,alpha_quality_score,risk_discipline_score,execution_robustness_score,alpha_pre_risk_total_return,total_return,max_drawdown,execution_fill_rate,risk_clipped_decisions,risk_violation_count
llm_synthetic,LLM synthetic,102,0.6225011646457032,0.6534926470588235,0.7783236279952691,0.02891814390344739,0.00880503412701852,-0.05419278898103341,0.4836850377291554,384,188
llm_real_market,LLM real-market,90,0.48880078114624415,0.41157407407407404,0.6869039104101223,0.0048291944050296775,-0.04376963596005918,-0.20577384534423304,0.6510192233962923,1871,717
classical_synthetic,Classical synthetic,54,0.7279497798287616,0.5694444444444444,0.7472168314565413,0.034094686255647794,0.01374071624436682,-0.052124532250713895,0.6206612060778727,96,180
classical_real_market,Classical real-market,18,0.6276074134062005,0.39351851851851855,0.7506514600205676,0.03842864593593138,0.016469791299777586,-0.16885092785412303,0.6945714566404222,0,234
