scenario_key,scenario_label,stress_family,provider,model,run_count,avg_return,std_return,return_ci_low,return_ci_high,worst_drawdown,avg_sharpe,std_sharpe,avg_fill_rate,avg_alpha_quality,avg_risk_discipline,avg_execution_robustness,evidence_tags,claim_scope
jump_tail,Jump and tail risk,market,poe,glm-5,1,0.016686905489183834,0.0,0.016686905489183834,0.016686905489183834,-0.021397961890934902,2.9762006561932854,0.0,0.7142857142857143,0.34243449140644666,0.40625,0.714136723925082,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
jump_tail,Jump and tail risk,market,poe,gpt-5.5,1,0.016686905489183834,0.0,0.016686905489183834,0.016686905489183834,-0.021397961890934902,2.9762006561932854,0.0,0.6666666666666666,0.3089314627073641,0.375,0.6910414858298438,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
jump_tail,Jump and tail risk,market,poe,kimi-k2.5,1,0.016686905489183834,0.0,0.016686905489183834,0.016686905489183834,-0.021397961890934902,2.9762006561932854,0.0,0.6666666666666666,0.30113546953818093,0.40625,0.6910414858298438,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
jump_tail,Jump and tail risk,market,poe,gemini-3.1-pro,1,0.015666191920414185,0.0,0.015666191920414185,0.015666191920414185,-0.007501423714052713,3.8126325800933936,0.0,0.6428571428571429,0.5280827043985539,0.53125,0.6614927253707186,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
jump_tail,Jump and tail risk,market,baseline,random,5,0.011822233981088347,0.05416327731679326,-0.02686343387004473,0.05313331336776792,-0.05419278898103341,1.27732519242674,6.330625758456456,0.7875,0.6427114860316261,0.3125,0.7236977632663213,stress-only;deterministic-baseline,deterministic baseline under stress-only execution
jump_tail,Jump and tail risk,market,baseline,always-hold,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3416666666666667,1.0,1.0,stress-only;deterministic-baseline,deterministic baseline under stress-only execution
latency_spike,Latency spike,execution,poe,gemini-3.1-pro,1,0.03290557483821965,0.0,0.03290557483821965,0.03290557483821965,-0.009126731449652481,5.679830335254814,0.0,0.23076923076923078,0.8495802376120858,0.59375,0.4745336656775082,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
latency_spike,Latency spike,execution,baseline,random,5,0.00865552796235769,0.026182536645353697,-0.010242402227224768,0.028403058646782053,-0.03459088806653532,-0.05450069835241811,8.058339510480387,0.23452380952380952,0.7665172040928012,0.55,0.47220273246459665,stress-only;deterministic-baseline,deterministic baseline under stress-only execution
latency_spike,Latency spike,execution,deepseek,deepseek-v4-flash,1,0.0010006922786887085,0.0,0.0010006922786887085,0.0010006922786887085,-0.01326271723652983,0.3667793375159909,0.0,0.2727272727272727,0.6981551226892679,0.71875,0.47756919422352473,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
latency_spike,Latency spike,execution,deepseek,deepseek-v4-pro,1,0.0010006922786887085,0.0,0.0010006922786887085,0.0010006922786887085,-0.01326271723652983,0.3667793375159909,0.0,0.2727272727272727,0.6981551226892679,0.71875,0.47756919422352473,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
