scenario_key,scenario_label,provider,model,run_count,avg_return,std_return,return_ci_low,return_ci_high,worst_drawdown,avg_sharpe,std_sharpe,avg_fill_rate,avg_alpha_quality,avg_risk_discipline,avg_execution_robustness,evidence_tags,claim_scope
rates_drawdown,Yahoo 2022 rates drawdown,baseline,always-hold,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3416666666666667,1.0,1.0,stress-only;deterministic-baseline,deterministic baseline under stress-only execution
rates_drawdown,Yahoo 2022 rates drawdown,baseline,random,5,-0.03203339288036287,0.08296195094129007,-0.09562359406446416,0.031942557266996664,-0.17320318002112656,-0.49640285791665384,3.5753918551806327,0.7575910364145659,0.3661536924647966,0.0388888888888889,0.6555650220988104,stress-only;deterministic-baseline,deterministic baseline under stress-only execution
rates_drawdown,Yahoo 2022 rates drawdown,deepseek,deepseek-v4-pro,5,-0.06125279574983289,0.06906548235951276,-0.11317624749407999,-0.009329344005585782,-0.196321807517565,-1.8098152216491439,1.6506114471112243,0.6958681318681318,0.41117337632014606,0.46111111111111114,0.6592716343805614,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
rates_drawdown,Yahoo 2022 rates drawdown,poe,glm-5,5,-0.07085484615512108,0.08374727834787456,-0.13368228991848138,-0.008027402391760762,-0.196321807517565,-1.5150532791075062,2.635009819560196,0.7213707773707774,0.3060821473701879,0.3833333333333334,0.6491245783043501,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
rates_drawdown,Yahoo 2022 rates drawdown,poe,kimi-k2.5,5,-0.07244645400852448,0.06654387788707812,-0.1208869636611684,-0.020327008376152665,-0.20396419877772187,-1.9840732831994081,2.116762315140632,0.6856540496540496,0.35355618547159373,0.5305555555555556,0.6289951016511768,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
rates_drawdown,Yahoo 2022 rates drawdown,poe,claude-opus-4.7,5,-0.08064669221285445,0.06735860051464382,-0.1298900217170849,-0.023891868996904743,-0.196321807517565,-2.1710175416709117,2.057333883317529,0.7451803011803012,0.3752276022985896,0.4805555555555555,0.6625783652634468,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
rates_drawdown,Yahoo 2022 rates drawdown,poe,gemini-3.1-pro,5,-0.0865037624450248,0.07085997492780502,-0.13464427494224124,-0.0238567218630243,-0.196321807517565,-2.2941013727237176,2.242737884979968,0.6902124542124543,0.4873034053086759,0.5555555555555556,0.638048180293886,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
rates_drawdown,Yahoo 2022 rates drawdown,poe,gpt-5.5,5,-0.08833002620438166,0.06754741526424785,-0.1336748980409463,-0.028447902363220857,-0.196321807517565,-2.337701489560853,2.1098494122297224,0.711114367114367,0.4460684601901684,0.48888888888888893,0.6393336450735841,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
rates_drawdown,Yahoo 2022 rates drawdown,deepseek,deepseek-v4-flash,5,-0.09291069381793922,0.0695348223683108,-0.13814078027018215,-0.034503787684317944,-0.20577384534423304,-2.509152353036148,2.266744516495176,0.7543047870004391,0.37752790640357786,0.525,0.6748995244246702,stress-only;cached-provider;redacted-prompt,cached-provider reliability under stress-only execution
recent_cross_asset,Yahoo recent GSPC/BTC/BTC futures,baseline,random,5,0.03545235353858887,0.05688370127519151,-0.015938959443805988,0.06882405779854243,-0.12159711245866023,2.480782692108216,3.3057458803773616,0.7700840336134454,0.41033584281609753,0.011111111111111117,0.6362081744200676,stress-only;deterministic-baseline,deterministic baseline under stress-only execution
