protocol_id,scenario_id,contamination_tier,execution_level,stress_profile,stress_axis,agent,seed,spread_bps,latency_steps,participation_rate,market_impact,total_return,sharpe,max_drawdown,execution_fill_rate,rejected_order_count,total_slippage_cost,intent_execution_gap_l1,risk_execution_gap_l1,evidence_tier,claim_scope
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,thin_liquidity,participation,signal-weighted,11,8.0,1,0.01,0.15,0.107735,9.834006,-0.000902,0.857143,1,713.70648,0.379298,0.16407,protocol-fixture,Participation-cap stress probe; not a market-depth calibration.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,thin_liquidity,participation,risk-parity,7,8.0,1,0.01,0.15,0.086619,15.237123,-0.007837,0.875,2,1020.998483,0.278341,0.278341,protocol-fixture,Participation-cap stress probe; not a market-depth calibration.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,thin_liquidity,participation,risk-parity,11,8.0,1,0.01,0.15,0.159144,21.082335,-0.002069,0.90625,1,1275.993291,0.262425,0.262425,protocol-fixture,Participation-cap stress probe; not a market-depth calibration.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,thin_liquidity,participation,random,7,8.0,1,0.01,0.15,0.053415,9.291758,-0.007087,0.862069,2,1174.139993,0.42414,0.42414,protocol-fixture,Participation-cap stress probe; not a market-depth calibration.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,thin_liquidity,participation,random,11,8.0,1,0.01,0.15,0.133831,13.542195,-0.002069,0.83871,3,1823.489264,0.406563,0.406563,protocol-fixture,Participation-cap stress probe; not a market-depth calibration.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,high_impact,impact,signal-weighted,7,8.0,1,0.05,0.35,0.042655,9.401133,-0.000287,0.888889,0,422.021259,0.128537,0.090282,protocol-fixture,Market-impact stress probe; not a transaction-cost model fit.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,high_impact,impact,signal-weighted,11,8.0,1,0.05,0.35,0.107635,9.825079,-0.000924,0.857143,1,722.952808,0.379299,0.16407,protocol-fixture,Market-impact stress probe; not a transaction-cost model fit.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,high_impact,impact,risk-parity,7,8.0,1,0.05,0.35,0.086433,15.193071,-0.007889,0.875,2,1038.219739,0.278339,0.278339,protocol-fixture,Market-impact stress probe; not a transaction-cost model fit.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,high_impact,impact,risk-parity,11,8.0,1,0.05,0.35,0.158953,21.048545,-0.002105,0.90625,1,1293.262285,0.262425,0.262425,protocol-fixture,Market-impact stress probe; not a transaction-cost model fit.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,high_impact,impact,random,7,8.0,1,0.05,0.35,0.053161,9.257688,-0.007115,0.862069,2,1198.839573,0.424157,0.424157,protocol-fixture,Market-impact stress probe; not a transaction-cost model fit.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,high_impact,impact,random,11,8.0,1,0.05,0.35,0.133436,13.506701,-0.002105,0.83871,3,1859.876447,0.406568,0.406568,protocol-fixture,Market-impact stress probe; not a transaction-cost model fit.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,combined_stress,combined,signal-weighted,7,24.0,4,0.01,0.35,0.019697,5.036622,-0.000506,0.5,1,331.326149,0.208675,0.169896,protocol-fixture,Combined E2 stress corner for execution-assumption sensitivity.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,combined_stress,combined,signal-weighted,11,24.0,4,0.01,0.35,0.050743,9.733824,-0.003475,0.380952,5,835.675282,0.546626,0.330238,protocol-fixture,Combined E2 stress corner for execution-assumption sensitivity.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,combined_stress,combined,risk-parity,7,24.0,4,0.01,0.35,0.091845,13.674835,-0.00187,0.4375,10,827.127042,0.476345,0.476345,protocol-fixture,Combined E2 stress corner for execution-assumption sensitivity.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,combined_stress,combined,risk-parity,11,24.0,4,0.01,0.35,0.107279,14.529161,-0.002739,0.46875,9,830.979275,0.44083,0.44083,protocol-fixture,Combined E2 stress corner for execution-assumption sensitivity.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,combined_stress,combined,random,7,24.0,4,0.01,0.35,0.075793,12.280287,-0.001828,0.444444,7,845.459159,0.444218,0.444218,protocol-fixture,Combined E2 stress corner for execution-assumption sensitivity.
trellm-v0.3-protocol,synthetic_calm_trend_c0_v0_3,C0,E2,combined_stress,combined,random,11,24.0,4,0.01,0.35,0.090088,12.411731,-0.002739,0.357143,10,881.997117,0.558004,0.558004,protocol-fixture,Combined E2 stress corner for execution-assumption sensitivity.
