protocol_id,repeat_count,target_power,minimum_detectable_cohens_d,grid_status,alpha,effect_grid,claim_scope
trellm-v0.3-protocol,6,0.5,1.2,detected,0.05,"0.2,0.5,0.8,1.2,1.6,2",detectable-effect planning threshold; not a model superiority claim
trellm-v0.3-protocol,6,0.8,2,detected,0.05,"0.2,0.5,0.8,1.2,1.6,2",detectable-effect planning threshold; not a model superiority claim
trellm-v0.3-protocol,10,0.5,0.8,detected,0.05,"0.2,0.5,0.8,1.2,1.6,2",detectable-effect planning threshold; not a model superiority claim
trellm-v0.3-protocol,10,0.8,1.2,detected,0.05,"0.2,0.5,0.8,1.2,1.6,2",detectable-effect planning threshold; not a model superiority claim
trellm-v0.3-protocol,20,0.5,0.5,detected,0.05,"0.2,0.5,0.8,1.2,1.6,2",detectable-effect planning threshold; not a model superiority claim
trellm-v0.3-protocol,20,0.8,0.8,detected,0.05,"0.2,0.5,0.8,1.2,1.6,2",detectable-effect planning threshold; not a model superiority claim
trellm-v0.3-protocol,30,0.5,0.5,detected,0.05,"0.2,0.5,0.8,1.2,1.6,2",detectable-effect planning threshold; not a model superiority claim
trellm-v0.3-protocol,30,0.8,0.8,detected,0.05,"0.2,0.5,0.8,1.2,1.6,2",detectable-effect planning threshold; not a model superiority claim
