Date,Open,High,Low,Close,Volume
2021-12-31,210.335323,211.876266,210.240781,210.297501,23997400
2022-01-03,211.488666,214.305864,210.562193,213.010712,30618800
2022-01-04,213.653520,214.721793,211.176657,212.689240,22013100
2022-01-05,212.585255,213.568448,205.447726,205.485535,40582100
2022-01-06,205.920434,208.378387,204.029695,206.657822,39105900
2022-01-07,206.657821,208.340578,204.133671,204.266037,31583900
2022-01-10,203.037051,203.623175,199.576994,203.557007,45778100
2022-01-11,203.708221,205.929845,201.325900,205.721863,35209900
2022-01-12,206.582214,207.395233,202.914175,204.190430,35284500
2022-01-13,204.965596,206.270210,201.722985,202.318558,34489600
2022-01-14,200.408908,202.687237,199.075933,202.602158,42020900
2022-01-18,200.607442,200.834336,196.192567,196.476181,49434400
2022-01-19,197.402666,198.017165,193.214685,193.280853,46209100
2022-01-20,194.160025,197.572810,189.385905,189.782959,50466000
2022-01-21,188.847073,191.928988,186.228409,186.228409,85821000
2022-01-24,183.467876,191.333343,180.783015,190.520325,85782000
2022-01-25,187.636961,190.681053,183.931114,187.977295,61088500
2022-01-26,190.756695,192.430003,183.137017,185.264099,71471700
2022-01-27,186.833415,188.705242,180.187467,181.057205,59829000
2022-01-28,181.227340,184.640124,177.814555,184.583405,65870000
2022-01-31,183.770412,190.246201,183.259919,190.246201,53393800
2022-02-01,190.643256,192.448915,187.154839,192.250381,43429400
2022-02-02,192.496201,192.760904,188.402748,190.340759,42777800
2022-02-03,187.977278,190.246173,186.285072,186.738846,39629400
2022-02-04,186.275628,189.168472,184.271449,187.542435,34291100
2022-02-07,187.589701,190.170571,187.173751,188.468903,33242600
2022-02-08,188.572891,192.023485,188.468900,191.683151,28341900
2022-02-09,193.394282,195.360639,193.139029,195.322830,27329300
2022-02-10,191.815496,197.629528,191.078109,192.326004,44788100
2022-02-11,192.524534,194.802879,188.780878,190.378555,41516600
2022-02-14,190.614894,192.411091,188.355461,189.716782,32262700
2022-02-15,191.702075,195.039229,191.560276,194.802887,25847500
2022-02-16,194.084450,195.946830,192.931097,195.209442,30104800
2022-02-17,193.375368,193.829142,189.811320,190.208374,27140200
2022-02-18,190.047619,191.645296,187.901627,188.572845,36255400
2022-02-22,187.636978,189.499357,184.677980,185.916412,31847100
2022-02-23,187.410108,188.034042,182.030952,182.437454,31491500
2022-02-24,178.032014,187.636958,177.653857,187.220993,52221100
2022-02-25,187.835506,191.550802,186.237829,191.437363,33656200
2022-02-28,189.518261,193.422642,189.508812,192.212570,34975900
2022-03-01,191.588632,192.656890,186.994135,188.591812,40638900
2022-03-02,189.868040,194.084395,189.726241,193.082306,29978600
2022-03-03,193.885843,193.904754,189.348066,190.794495,30142700
2022-03-04,188.790322,189.886955,186.218916,187.807144,31610400
2022-03-07,188.336542,188.686324,183.099186,183.137009,39279800
2022-03-08,183.723131,188.667424,182.891215,184.148544,45715800
2022-03-09,187.391164,190.019290,186.823936,189.338623,29048000
2022-03-10,186.625434,189.111746,185.821864,188.998306,25661000
2022-03-11,189.811325,190.737783,185.708424,185.982574,24990000
2022-03-14,186.464713,186.653784,181.397531,182.182190,34969500
2022-03-15,182.891238,185.093936,182.342921,185.084488,25464300
2022-03-16,186.748294,190.907928,185.434231,190.907928,31869700
2022-03-17,189.801869,193.999313,189.357544,193.904770,25783100
2022-03-18,193.053979,196.116968,192.855444,195.946808,37092200
2022-03-21,195.880627,196.807086,192.798727,194.216782,26747500
2022-03-22,195.039238,197.383751,194.557105,196.164230,24699900
2022-03-23,194.887946,195.880587,192.619065,192.760864,19775000
2022-03-24,193.594472,195.034248,192.031537,194.977417,19781200
2022-03-25,195.214230,195.716259,193.651309,195.242645,19430400
2022-03-28,194.750084,195.327893,192.315701,195.308945,18999100
2022-03-29,197.023391,201.049110,196.909729,200.537613,29550600
2022-03-30,200.215583,200.566067,195.706783,196.511932,26251500
2022-03-31,196.199329,197.885394,194.323808,194.437485,26771600
2022-04-01,195.299443,196.758183,194.191189,196.616104,25948500
2022-04-04,196.900274,197.430720,195.015300,196.938171,20333900
2022-04-05,196.985525,198.387419,191.823122,192.277802,26509800
2022-04-06,190.648577,191.150607,188.195246,189.549789,34903900
2022-04-07,189.549805,190.610696,186.300805,188.934113,29291200
2022-04-08,188.706742,189.739217,187.077509,187.427979,25249600
2022-04-11,186.717546,188.735146,185.542992,186.168152,33702300
2022-04-12,188.214187,191.036922,186.054509,186.755463,33699800
2022-04-13,187.248015,190.819068,187.181716,190.307571,22303600
2022-04-14,190.497029,191.690532,188.375233,188.460495,27107000
2022-04-18,187.986844,188.668835,186.158687,187.191162,22246400
2022-04-19,187.418508,191.567371,187.257481,190.923248,22786700
2022-04-20,192.334624,193.111343,191.207420,191.652618,20516200
2022-04-21,193.452347,193.992274,186.622842,187.361679,31547700
2022-04-22,186.480774,186.954388,182.142468,182.511887,35686900
2022-04-25,180.911075,183.866422,179.225011,183.620148,35556500
2022-04-26,182.170886,182.540305,177.586292,177.832581,40513600
2022-04-27,177.766289,179.764941,176.430694,177.093765,37808000
