Date,Open,High,Low,Close,Volume
2021-12-31,44.195702,44.529560,44.069378,44.078400,30439000
2022-01-03,44.285941,44.448356,44.015242,44.394218,27572700
2022-01-04,44.448355,44.448355,44.150591,44.240822,24579500
2022-01-05,44.033282,44.349096,43.509937,43.518959,46425100
2022-01-06,43.636263,43.925006,43.455798,43.717472,34288700
2022-01-07,43.934029,44.195703,43.762590,44.114494,32640900
2022-01-10,44.159610,44.285938,43.816730,44.114494,43581800
2022-01-11,44.493470,45.152164,44.358120,45.134117,57536400
2022-01-12,45.693559,45.919139,45.531140,45.883045,56499100
2022-01-13,45.693562,45.729656,45.197286,45.233379,33229000
2022-01-14,45.107051,45.296537,44.953654,45.215328,40642300
2022-01-18,44.403237,44.664911,44.349100,44.412262,45012000
2022-01-19,44.746121,44.845377,44.565656,44.601749,43998100
2022-01-20,45.350673,45.603326,44.818304,44.863422,58279500
2022-01-21,44.773191,44.836353,44.168637,44.213753,59673800
2022-01-24,43.518961,43.600170,42.580546,43.591148,87752800
2022-01-25,43.338498,43.744543,43.058780,43.509941,54804100
2022-01-26,43.753570,43.834779,42.869292,42.959526,55516700
2022-01-27,42.950496,43.022684,42.445199,42.463245,61062300
2022-01-28,42.553481,42.697853,42.102320,42.670784,48799200
2022-01-31,43.212168,44.123515,43.167053,44.069374,65614900
2022-02-01,44.231799,44.340076,43.852822,44.340076,50158000
2022-02-02,44.511514,44.538583,43.970119,44.267887,35128100
2022-02-03,43.717470,44.015235,43.645283,43.798679,38246800
2022-02-04,43.600174,44.114497,43.509943,43.906963,36644200
2022-02-07,43.717475,44.069379,43.681381,43.816730,31917100
2022-02-08,43.744546,44.249847,43.726499,44.240822,25562200
2022-02-09,44.610768,44.962676,44.556631,44.935604,40082900
2022-02-10,44.565657,45.215329,44.556635,44.637844,55440700
2022-02-11,44.655889,44.845376,43.888914,43.961102,53838300
2022-02-14,43.771619,43.870875,43.419714,43.654320,59439800
2022-02-15,44.240819,44.637843,44.204729,44.601749,32938500
2022-02-16,44.547606,45.107047,44.511515,44.926582,47236800
2022-02-17,44.719055,44.809286,44.313009,44.403240,41245300
2022-02-18,44.240819,44.267891,43.870867,43.961102,41312300
2022-02-22,43.329479,43.645290,43.058784,43.338501,60704500
2022-02-23,43.527986,43.555055,42.751989,42.833199,38873700
2022-02-24,40.640558,41.975994,40.613486,41.948925,95679500
2022-02-25,42.129383,42.770033,41.921849,42.724915,58887800
2022-02-28,41.732371,42.273763,41.669209,42.165485,79366600
2022-03-01,41.957950,42.282786,41.362418,41.606045,72297300
2022-03-02,41.642136,41.858691,41.245113,41.678226,61858700
2022-03-03,41.515813,41.597022,41.010515,41.091724,57514100
2022-03-04,40.279632,40.523259,40.036005,40.261585,68351300
2022-03-07,39.575820,39.720191,38.718614,38.754707,77557700
2022-03-08,38.953219,39.368289,38.556199,38.881035,90831500
2022-03-09,39.494611,40.081117,39.350239,39.981865,59840900
2022-03-10,39.359257,39.422420,38.989306,39.232933,59158300
2022-03-11,39.458524,39.503639,38.402809,38.411831,72846700
2022-03-14,37.960663,38.231358,37.374152,37.482433,85651000
2022-03-15,36.959083,37.599730,36.814711,37.536568,85987500
2022-03-16,39.278055,40.640562,39.088568,40.559353,134225700
2022-03-17,40.207447,40.424002,39.837495,40.351818,80743600
2022-03-18,40.017956,41.010511,39.918703,40.929302,77755100
2022-03-21,40.333770,40.469116,39.990887,40.297676,58558700
2022-03-22,40.857110,41.163899,40.830041,41.028553,61380900
2022-03-23,40.631534,41.209019,40.532278,40.757858,76986600
2022-03-24,40.784932,41.010512,40.649582,40.974419,52016600
2022-03-25,40.604467,40.667629,40.378886,40.649582,39294500
2022-03-28,40.685675,40.802978,40.433026,40.784931,49757000
2022-03-29,41.488743,41.597020,41.263162,41.479721,54088200
2022-03-30,41.407538,41.714328,41.272192,41.362423,57717400
2022-03-31,41.172929,41.199997,40.712743,40.739815,74448400
2022-04-01,41.515806,41.642134,41.163901,41.416553,54193400
2022-04-04,41.957948,42.210596,41.813576,42.147434,48057700
2022-04-05,41.975990,41.975990,41.299249,41.371433,45058100
2022-04-06,41.100743,41.154884,40.631536,40.830048,56877100
2022-04-07,40.595441,40.694694,40.306695,40.505207,38954900
2022-04-08,40.622518,40.757865,40.496194,40.541309,41263400
2022-04-11,40.189396,40.360836,40.017952,40.035999,47878200
2022-04-12,40.360844,40.396938,39.873590,39.909683,41815200
2022-04-13,40.126240,40.496191,40.099168,40.433029,33529400
2022-04-14,40.216473,40.234520,39.882615,39.909683,38915000
2022-04-18,39.702147,39.963821,39.575822,39.774334,29106500
2022-04-19,39.359258,39.602886,39.187819,39.575817,40066400
2022-04-20,39.620938,39.629960,39.269033,39.341217,36373300
2022-04-21,39.350239,39.422423,38.502054,38.583263,44857400
2022-04-22,38.655450,38.908099,38.231358,38.240383,68371900
2022-04-25,37.608758,38.014803,37.527549,37.960663,67643800
2022-04-26,37.717038,37.762154,37.130531,37.130531,70774400
2022-04-27,37.410252,37.798250,37.356115,37.563648,61594000
2022-04-28,37.870436,38.159178,37.482437,38.105038,43763100
2022-04-29,38.826890,38.998333,38.213311,38.240383,61703900
2022-05-02,38.132104,38.330616,37.726063,38.186245,55015700
2022-05-03,38.429872,38.520102,38.285500,38.465965,45593000
2022-05-04,38.077969,38.953219,37.843364,38.881035,57175300
2022-05-05,38.077964,38.141127,37.103456,37.446339,63268900
2022-05-06,37.094440,37.211743,36.715463,36.932022,67425600
2022-05-09,36.264299,36.462811,35.840211,35.867279,83251500
2022-05-10,36.408671,36.453790,35.722908,36.038719,69865000
2022-05-11,36.282344,36.562065,35.758999,35.786068,75198500
2022-05-12,35.416114,35.867275,35.145419,35.551464,73481300
2022-05-13,35.948489,36.544022,35.921421,36.535000,49196100
2022-05-16,36.264305,36.544026,36.183096,36.390633,32425000
2022-05-17,37.356108,37.401223,36.986156,37.283920,49516400
