Date,Open,High,Low,Close,Volume
2023-04-25,184.839996,186.220001,184.300003,185.750000,8451900
2023-04-26,186.630005,186.649994,184.300003,184.740005,8203600
2023-04-27,183.899994,184.990005,183.380005,184.750000,9107400
2023-04-28,184.789993,185.380005,184.169998,184.800003,6700400
2023-05-01,186.050003,186.220001,183.910004,183.970001,7997700
2023-05-02,184.649994,187.639999,184.520004,187.520004,14680600
2023-05-03,187.610001,189.210007,186.929993,189.110001,11133800
2023-05-04,188.860001,191.360001,188.809998,190.440002,14146800
2023-05-05,186.559998,187.580002,185.770004,187.460007,12508100
2023-05-08,187.820007,188.669998,187.490005,187.690002,6075400
2023-05-09,188.119995,189.330002,188.070007,189.020004,7098800
2023-05-10,188.979996,189.639999,187.820007,188.750000,9392100
2023-05-11,188.440002,188.809998,186.860001,187.130005,8245500
2023-05-12,187.429993,187.919998,186.580002,186.809998,7087500
2023-05-15,187.300003,187.880005,187.029999,187.210007,5518100
2023-05-16,186.580002,186.820007,184.460007,184.869995,9519500
2023-05-17,184.309998,184.449997,183.479996,184.229996,7474300
2023-05-18,182.100006,182.279999,181.339996,181.839996,8812600
2023-05-19,182.250000,184.339996,181.809998,183.639999,8435000
2023-05-22,183.220001,183.839996,182.910004,183.210007,4834300
2023-05-23,182.779999,183.759995,182.479996,183.429993,6345000
2023-05-24,183.539993,183.539993,181.770004,181.949997,6732900
2023-05-25,181.179993,181.309998,180.100006,180.199997,6919200
2023-05-26,181.009995,181.300003,180.089996,180.919998,5823700
2023-05-30,181.720001,182.399994,181.169998,182.039993,4906100
2023-05-31,182.389999,183.449997,182.100006,182.320007,8497900
2023-06-01,182.809998,184.210007,182.720001,183.759995,7300500
2023-06-02,183.529999,183.559998,180.960007,181.050003,8726100
2023-06-05,180.789993,182.440002,180.600006,182.139999,5748800
2023-06-06,182.360001,182.649994,181.520004,182.339996,4967200
2023-06-07,181.940002,183.000000,180.149994,180.149994,9066500
2023-06-08,182.000000,183.039993,181.960007,182.529999,6394100
2023-06-09,182.360001,182.789993,181.720001,182.039993,4379200
2023-06-12,181.800003,181.940002,181.039993,181.880005,4873600
2023-06-13,182.100006,182.429993,180.169998,180.539993,5126700
2023-06-14,181.690002,181.960007,180.139999,180.639999,6807000
2023-06-15,180.279999,182.050003,180.179993,181.910004,6739000
2023-06-16,181.929993,182.619995,181.410004,181.630005,8779100
2023-06-20,180.059998,180.089996,179.220001,179.750000,7584200
2023-06-21,179.149994,179.949997,178.190002,179.490005,6702300
2023-06-22,178.360001,178.990005,177.630005,177.710007,7945000
2023-06-23,179.600006,179.949997,178.089996,178.199997,5419800
2023-06-26,179.050003,179.080002,178.419998,178.509995,3222100
2023-06-27,179.070007,179.289993,177.429993,177.690002,5036900
2023-06-28,177.229996,177.690002,176.699997,177.279999,5866700
2023-06-29,175.830002,177.630005,175.789993,177.089996,6862500
2023-06-30,177.690002,178.529999,177.320007,178.270004,6420900
2023-07-03,178.610001,179.339996,178.460007,178.470001,4085700
2023-07-05,179.410004,179.419998,177.830002,177.839996,5650600
2023-07-06,177.509995,177.800003,176.660004,177.309998,5133000
2023-07-07,178.380005,179.649994,178.350006,178.639999,5201100
2023-07-10,178.369995,178.919998,178.259995,178.779999,3320500
2023-07-11,179.429993,179.710007,179.130005,179.449997,2818800
2023-07-12,181.179993,181.949997,181.100006,181.880005,7062000
2023-07-13,181.960007,182.149994,181.490005,182.009995,4527900
2023-07-14,181.589996,182.169998,181.110001,181.429993,5390000
2023-07-17,180.990005,181.630005,180.639999,181.559998,4152400
2023-07-18,182.789993,184.229996,182.320007,183.639999,8238000
2023-07-19,183.449997,183.839996,182.869995,183.669998,3911600
2023-07-20,183.729996,183.770004,182.470001,182.740005,4972900
2023-07-21,182.059998,182.460007,181.679993,182.179993,3845400
2023-07-24,182.220001,182.539993,181.339996,181.399994,4370000
2023-07-25,181.720001,182.470001,181.100006,182.410004,4090100
2023-07-26,182.660004,183.639999,182.309998,183.300003,6158400
2023-07-27,181.639999,181.639999,180.320007,180.419998,7592800
2023-07-28,181.479996,182.270004,181.250000,181.860001,3828800
2023-07-31,182.429993,183.089996,182.309998,182.350006,5494800
2023-08-01,180.850006,181.380005,180.190002,180.460007,6239700
2023-08-02,180.570007,180.789993,179.410004,179.600006,6339700
2023-08-03,179.440002,179.949997,179.279999,179.539993,4636300
2023-08-04,180.250000,180.770004,179.850006,180.190002,5326200
2023-08-07,180.149994,180.149994,179.270004,179.779999,4510400
2023-08-08,178.639999,179.330002,178.460007,178.639999,6162900
2023-08-09,178.679993,178.919998,177.779999,177.789993,4644000
2023-08-10,178.220001,178.699997,177.539993,177.600006,5934600
2023-08-11,177.699997,178.360001,177.490005,177.600006,5289700
2023-08-14,176.860001,177.580002,176.580002,177.059998,9554500
2023-08-15,176.750000,177.429993,176.330002,176.589996,7582700
2023-08-16,176.619995,176.949997,175.559998,175.570007,6559400
2023-08-17,176.529999,176.559998,174.929993,175.300003,7937700
2023-08-18,175.830002,176.059998,175.100006,175.330002,6253000
2023-08-21,175.899994,175.940002,174.960007,175.809998,4206400
2023-08-22,175.830002,176.250000,175.309998,176.100006,5892200
2023-08-23,177.320007,178.220001,177.070007,177.889999,7949100
2023-08-24,177.660004,178.490005,177.410004,177.850006,5526400
2023-08-25,177.580002,178.380005,176.630005,177.619995,6132800
2023-08-28,177.649994,178.729996,177.509995,178.130005,4740700
2023-08-29,178.029999,179.880005,177.899994,179.869995,7576600
2023-08-30,180.580002,180.880005,180.289993,180.320007,6593700
2023-08-31,180.369995,180.490005,179.940002,180.020004,4795600
2023-09-01,180.800003,181.119995,179.509995,180.110001,4970700
2023-09-05,179.330002,179.440002,178.639999,178.639999,7056800
2023-09-06,178.330002,179.009995,177.699997,177.830002,6427200
2023-09-07,178.309998,178.369995,177.899994,178.020004,3257200
2023-09-08,178.360001,179.050003,177.899994,178.080002,3292700
2023-09-11,178.970001,179.070007,178.259995,178.410004,3689100
2023-09-12,177.110001,177.699997,177.050003,177.490005,4445400
2023-09-13,177.529999,177.750000,177.039993,177.080002,3874800
2023-09-14,176.500000,177.389999,176.360001,177.169998,6184400
2023-09-15,178.550003,179.110001,178.339996,178.339996,5620900
2023-09-18,178.820007,179.410004,178.380005,179.389999,5049300
2023-09-19,179.539993,179.649994,179.029999,179.220001,4224700
