Date,Open,High,Low,Close,Volume
2021-12-31,125.960774,127.000435,125.636942,126.284607,13402300
2022-01-03,124.767728,125.219383,122.952580,122.969627,33860400
2022-01-04,122.381620,122.824757,121.640227,122.458313,21996400
2022-01-05,122.833255,122.850303,121.614644,121.793594,20911700
2022-01-06,121.512394,122.236752,121.256737,122.108917,18996400
2022-01-07,121.972576,122.066317,120.634647,121.231171,18756800
2022-01-10,120.711328,121.699860,120.464201,121.529427,13775800
2022-01-11,121.759581,122.398717,121.606182,122.339058,24388700
2022-01-12,122.628733,122.722473,121.861776,121.870293,14440600
2022-01-13,122.194136,123.071880,121.887350,122.952576,15166000
2022-01-14,122.219705,122.253799,120.830647,121.094833,22997500
2022-01-18,120.123348,120.421603,119.322296,119.390472,21171700
2022-01-19,119.756933,120.762512,119.569452,120.217117,17930500
2022-01-20,120.472732,121.001092,120.234122,120.958481,13959000
2022-01-21,122.202656,122.799192,121.580568,122.398666,28916600
2022-01-24,122.969620,123.029266,121.376034,121.393082,25001600
2022-01-25,121.955553,122.466867,120.839199,121.197113,15599000
2022-01-26,121.231171,121.495358,119.722821,119.731339,23655500
2022-01-27,121.359079,122.177165,121.290903,121.930038,21501800
2022-01-28,121.086275,122.253770,120.881760,121.972549,12826500
2022-01-31,121.163047,121.819230,120.975579,121.342010,13998400
2022-02-01,121.417047,121.485318,120.375938,120.939163,20806100
2022-02-02,121.135451,122.517915,121.118380,121.348793,18404600
2022-02-03,119.846867,120.734363,119.624983,120.401550,17234100
2022-02-04,119.343372,119.590842,118.430263,118.626534,23609800
2022-02-07,118.541227,118.882569,118.234015,118.703369,12962400
2022-02-08,117.943879,118.259620,117.611066,117.909737,16269200
2022-02-09,118.379076,118.933759,117.926792,118.131592,14349100
2022-02-10,117.474502,117.619573,115.921368,116.254181,30896200
2022-02-11,116.800346,118.199868,115.511767,117.977997,43210300
2022-02-14,117.022211,117.542765,116.032302,116.510185,23157400
2022-02-15,115.716551,115.921350,115.153325,115.187454,18198500
2022-02-16,116.015264,116.117677,114.786414,115.870193,16473700
2022-02-17,116.441922,117.397702,115.972567,116.732063,24508200
2022-02-18,117.355054,118.080408,117.047841,117.960938,17522600
2022-02-22,117.500102,118.336398,117.312361,118.268127,19534000
2022-02-23,117.491574,117.636657,116.544349,116.638206,17757800
2022-02-24,118.703327,118.933727,116.271227,116.714981,28150400
2022-02-25,116.791810,117.175822,116.211513,116.800339,15025400
2022-02-28,118.131623,119.505545,118.037765,119.360474,25817700
2022-03-01,119.937234,121.620594,119.629614,120.740463,35664400
2022-03-02,119.492871,119.988481,116.561952,116.613220,30397400
2022-03-03,117.484843,118.518777,117.083228,117.801003,20649100
2022-03-04,119.937222,120.330296,119.039997,119.834686,25853100
2022-03-07,118.877667,120.176507,118.578601,118.920395,23710900
2022-03-08,117.501905,118.134238,117.279741,117.724083,28331300
2022-03-09,117.125965,117.356670,116.322735,116.570534,18819200
2022-03-10,115.211851,115.502377,114.263358,114.895691,26868900
2022-03-11,114.784618,115.741650,114.682082,115.280228,15583800
2022-03-14,113.391761,113.554117,112.554357,112.588531,24385000
2022-03-15,113.528512,113.776310,112.101503,112.392029,17518800
2022-03-16,112.648329,113.759178,111.358043,113.494286,25857700
2022-03-17,113.494295,113.938624,111.998925,112.648338,19330600
2022-03-18,113.280716,114.109566,113.280716,114.024124,55891700
2022-03-21,112.178397,112.511650,110.871017,111.383720,26122000
2022-03-22,110.195974,110.520675,109.666177,109.956703,21830900
2022-03-23,110.546303,112.451841,110.110514,112.366386,21266100
2022-03-24,110.785535,112.092915,110.742821,111.486229,17141600
2022-03-25,110.657403,110.674497,109.076584,109.939629,25684500
2022-03-28,110.563380,111.563140,110.264301,110.879539,17657800
2022-03-29,111.563133,112.409090,110.862452,111.716949,19319700
2022-03-30,111.144442,112.802156,111.076081,112.588531,16310200
2022-03-31,112.776529,113.366134,112.503097,112.861984,19901000
2022-04-01,111.263364,113.788003,111.006633,113.291634,23489700
2022-04-04,112.906505,112.949298,111.862433,112.504288,13609900
2022-04-05,111.905179,111.922299,109.791338,109.962509,25196900
2022-04-06,108.199530,109.799889,108.173857,109.072449,22952000
2022-04-07,107.925704,108.404953,107.326642,108.250908,23458800
2022-04-08,107.360887,107.686098,106.342482,107.078476,26859200
2022-04-11,106.051492,106.282564,104.887595,105.383965,30020700
2022-04-12,106.162736,106.256876,104.981720,105.238464,23124200
