kind,dose,decay,risk,run_count,memory_driven_leverage_amplification_mean,memory_driven_leverage_amplification_std,memory_driven_leverage_amplification_ci_low,memory_driven_leverage_amplification_ci_high,memory_pollution_ratio_mean,total_return_mean,max_drawdown_mean
fake_rejections,0.0,0.6,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.23048642413149462,-0.020164089811202345
fake_rejections,0.0,0.6,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
fake_rejections,0.0,0.85,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.2303079836161018,-0.02033926765328411
fake_rejections,0.0,0.85,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
fake_rejections,0.0,1.0,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.2302920879678033,-0.02036420985681172
fake_rejections,0.0,1.0,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
fake_rejections,0.1,0.6,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.23048642413149462,-0.020164089811202345
fake_rejections,0.1,0.6,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
fake_rejections,0.1,0.85,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.2303079836161018,-0.02033926765328411
fake_rejections,0.1,0.85,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
fake_rejections,0.1,1.0,max-position,10,0.4838208333333333,0.025755378573473993,0.46844583333333334,0.49846666666666667,0.0008333333333333333,0.2302920879678033,-0.02036420985681172
fake_rejections,0.1,1.0,none,10,0.4850333333333333,0.024635896411036244,0.470475,0.4995916666666667,0.0,0.31671949570189284,-0.026260607447521032
fake_rejections,0.25,0.6,max-position,10,0.4239149895905621,0.01897834351904521,0.41271576451538283,0.43448878093916266,0.19403866569181455,0.22090414872563172,-0.019094761686206673
fake_rejections,0.25,0.6,none,10,0.4249899809160305,0.017675338244212614,0.41395924415914875,0.43495967788572754,0.1932053323584812,0.30377298496579963,-0.0229726106967873
fake_rejections,0.25,0.85,max-position,10,0.42329564980875134,0.021148442138495493,0.4108012844333292,0.4353977208572569,0.19628618200455886,0.22204021793864434,-0.01896112475276046
