kind,decay,risk,dose,outcome,paired_n,mean_delta_vs_dose0,delta_ci_low,delta_ci_high,permutation_p_value,q_value,cohens_d
fake_rejections,0.6,max-position,0.1,memory_driven_leverage_amplification,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_rejections,0.6,max-position,0.1,max_memory_driven_leverage_amplification,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_rejections,0.6,max-position,0.1,memory_pollution_ratio,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_rejections,0.6,max-position,0.1,total_return,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_rejections,0.6,max-position,0.1,max_drawdown,10,0.0,0.0,0.0,1.0,1.0,0.0
fake_rejections,0.6,max-position,0.25,memory_driven_leverage_amplification,10,-0.059905843742771234,-0.06488007749248208,-0.05467839463335648,0.001953125,0.002999680034129693,-7.150359899913548
fake_rejections,0.6,max-position,0.25,max_memory_driven_leverage_amplification,10,-0.08843164469118672,-0.09686328938237336,-0.08000000000000007,0.001953125,0.002999680034129693,-6.513707720518264
fake_rejections,0.6,max-position,0.25,memory_pollution_ratio,10,0.1932053323584812,0.183325546474662,0.20358955032394635,0.001953125,0.002999680034129693,11.047352951803415
fake_rejections,0.6,max-position,0.25,total_return,10,-0.009582275405862895,-0.011716698941709191,-0.007248462030859848,0.001953125,0.002999680034129693,-2.4907564510029574
fake_rejections,0.6,max-position,0.25,max_drawdown,10,0.001069328124995672,-1.913777264328509e-06,0.002032431692827319,0.083984375,0.11214530786350148,0.6280021603513223
fake_rejections,0.6,max-position,0.5,memory_driven_leverage_amplification,10,-0.14135657240342353,-0.15317838017580385,-0.12956747918112424,0.001953125,0.002999680034129693,-7.0698935512476755
fake_rejections,0.6,max-position,0.5,max_memory_driven_leverage_amplification,10,-0.10248438584316452,-0.12496877168632899,-0.08000000000000007,0.001953125,0.002999680034129693,-2.830802272324416
fake_rejections,0.6,max-position,0.5,memory_pollution_ratio,10,0.39404271094280874,0.3826806559716183,0.40535196000676466,0.001953125,0.002999680034129693,20.249517523236648
fake_rejections,0.6,max-position,0.5,total_return,10,-0.02597641557065964,-0.032633076073228094,-0.01977983612726424,0.001953125,0.002999680034129693,-2.452373472760061
fake_rejections,0.6,max-position,0.5,max_drawdown,10,0.004422234735761576,0.0013112349185751104,0.007250396023115701,0.02734375,0.037514291158536585,0.8890272863042659
