agent,outcome,family,paired_n,dose0_mean,dose025_mean,dose075_mean,mean_delta,ci_low,ci_high,permutation_p_value,q_value,cohens_d
deepseek:deepseek-v4-pro,hold_ratio,primary,30,0.3020833333333333,0.23171296296296295,0.3861111111111111,-0.07037037037037037,-0.09351851851851853,-0.047916666666666684,0.0004997501249375312,0.0009995002498750624,-1.1126322815815344
deepseek:deepseek-v4-pro,mean_gross_target_exposure,primary,30,1.0305555555555557,1.1364814814814816,0.888888888888889,0.10592592592592594,0.0725462962962963,0.14259259259259258,0.0004997501249375312,0.0009995002498750624,1.0895013194636267
deepseek:deepseek-v4-pro,total_return,exploratory,30,0.24304848219011885,0.2683002406347382,0.21449548818465933,0.025251758444619375,0.01226084266636323,0.03897513083169622,0.0004997501249375312,,0.6892095306974138
deepseek:deepseek-v4-pro,max_drawdown,exploratory,30,-0.005174596148338688,-0.005243663435069853,-0.005268741661298785,-6.906728673116642e-05,-0.0003738578565919637,0.00021712074884391554,0.6701649175412294,,-0.08043249636751518
glm:glm-5,hold_ratio,primary,30,0.14050925925925925,0.14444444444444443,0.15046296296296297,0.003935185185185186,-0.002546296296296297,0.010648148148148144,0.30884557721139433,0.30884557721139433,0.20891199644093938
glm:glm-5,mean_gross_target_exposure,primary,30,1.3186342592592593,1.3092592592592593,1.2960879629629631,-0.009375000000000052,-0.01983796296296301,0.0009953703703703112,0.09995002498750624,0.13326669998334165,-0.31567576751410215
glm:glm-5,total_return,exploratory,30,0.30311312990322276,0.2995476114884679,0.2997158159058746,-0.0035655184147548214,-0.006503846254737804,-0.0007147197906604323,0.02798600699650175,,-0.42867377470454104
glm:glm-5,max_drawdown,exploratory,30,-0.005542722040567411,-0.00551005868811089,-0.005423311217117587,3.266335245652034e-05,-0.0002176682790778156,0.00026739663074837707,0.8055972013993004,,0.04736406072685054
