agent,outcome,dose,seed_n,mean,ci_low,ci_high
deepseek:deepseek-v4-pro,hold_ratio,0.0,30,0.3020833333333333,0.27662037037037035,0.3280092592592592
deepseek:deepseek-v4-pro,hold_ratio,0.25,30,0.23171296296296295,0.2159722222222222,0.2462962962962963
deepseek:deepseek-v4-pro,hold_ratio,0.75,30,0.3861111111111111,0.34699074074074077,0.4256944444444445
deepseek:deepseek-v4-pro,mean_gross_target_exposure,0.0,30,1.0305555555555557,0.9924074074074075,1.0673611111111112
deepseek:deepseek-v4-pro,mean_gross_target_exposure,0.25,30,1.1364814814814816,1.1125462962962964,1.1618518518518521
deepseek:deepseek-v4-pro,mean_gross_target_exposure,0.75,30,0.888888888888889,0.8305555555555556,0.9456018518518519
deepseek:deepseek-v4-pro,total_return,0.0,30,0.24304848219011885,0.22445260154920108,0.26156821548612336
deepseek:deepseek-v4-pro,total_return,0.25,30,0.2683002406347382,0.25322488743606725,0.283232382366328
deepseek:deepseek-v4-pro,total_return,0.75,30,0.21449548818465933,0.19661353308335525,0.23320283305758674
deepseek:deepseek-v4-pro,max_drawdown,0.0,30,-0.005174596148338688,-0.006547821106836868,-0.004000909816886131
deepseek:deepseek-v4-pro,max_drawdown,0.25,30,-0.005243663435069853,-0.006667975125109629,-0.003986512900652054
deepseek:deepseek-v4-pro,max_drawdown,0.75,30,-0.005268741661298785,-0.006669721954482095,-0.003976432500512176
glm:glm-5,hold_ratio,0.0,30,0.14050925925925925,0.12685185185185185,0.15324074074074073
glm:glm-5,hold_ratio,0.25,30,0.14444444444444443,0.13125,0.1574074074074074
glm:glm-5,hold_ratio,0.75,30,0.15046296296296297,0.13657407407407407,0.16481481481481483
glm:glm-5,mean_gross_target_exposure,0.0,30,1.3186342592592593,1.2999305555555556,1.3390277777777777
glm:glm-5,mean_gross_target_exposure,0.25,30,1.3092592592592593,1.2899768518518517,1.3298611111111112
glm:glm-5,mean_gross_target_exposure,0.75,30,1.2960879629629631,1.2732407407407407,1.3194675925925925
glm:glm-5,total_return,0.0,30,0.30311312990322276,0.2851416255964271,0.3206422518279472
glm:glm-5,total_return,0.25,30,0.2995476114884679,0.28235629256126893,0.31611224360197643
glm:glm-5,total_return,0.75,30,0.2997158159058746,0.2821907858918325,0.31632255557562367
glm:glm-5,max_drawdown,0.0,30,-0.005542722040567411,-0.007168442535760285,-0.003984843909939242
glm:glm-5,max_drawdown,0.25,30,-0.00551005868811089,-0.0071108012722151115,-0.003954512013264712
glm:glm-5,max_drawdown,0.75,30,-0.005423311217117587,-0.006949269870057094,-0.0039230093261464665
