scenario,level,agent,seed,total_return,sharpe,max_drawdown,execution_fill_rate,total_slippage_cost
calm,E0_ideal,buy-and-hold,1,0.14849139447776905,2.420327894519391,-0.19714380682700572,1.0,25.263315947550627
calm,E0_ideal,buy-and-hold,2,0.11893050971156449,1.8170891566875034,-0.1849251242719997,1.0,27.898845331848598
calm,E0_ideal,buy-and-hold,3,0.12185756808164872,1.9253503755907002,-0.1940604190861449,1.0,27.10296150051607
calm,E0_ideal,buy-and-hold,4,0.1036962195116824,1.6308471993661562,-0.2118773560707784,1.0,27.416962524783305
calm,E0_ideal,buy-and-hold,5,0.18837797453097083,2.978272014218041,-0.18387568269718668,1.0,26.51707767764011
calm,E0_ideal,buy-and-hold,6,0.1097436364169222,1.6897550501510705,-0.20630495003916371,1.0,26.44857707766143
calm,E0_ideal,buy-and-hold,7,0.13008008413294259,2.2236605034571433,-0.17494891315161254,1.0,26.408323799831244
calm,E0_ideal,buy-and-hold,8,0.09854190635816673,1.6674673978618713,-0.21396282505856312,1.0,25.797316485257276
calm,E0_ideal,buy-and-hold,9,0.2231723695549217,3.473677093335311,-0.20129992242524453,1.0,27.49322021193508
calm,E0_ideal,buy-and-hold,10,0.15012104683752137,2.30100222968422,-0.19043492920289207,1.0,26.898596818217122
calm,E0_ideal,signal-weighted,1,0.20355204853140174,5.634170583162462,-0.017312457777685086,1.0,191.69491870945555
calm,E0_ideal,signal-weighted,2,0.2439902515565311,6.29960828671365,-0.02097021983139391,1.0,156.24854477328972
calm,E0_ideal,signal-weighted,3,0.2846138307524666,7.407876013197064,-0.009298985265122739,1.0,144.88508557844438
calm,E0_ideal,signal-weighted,4,0.2548168426193169,6.981504490051351,-0.010936870280793709,1.0,183.11930385685227
calm,E0_ideal,signal-weighted,5,0.29817082538112905,7.731677941234041,-0.007864542982007228,1.0,154.9049877374315
calm,E0_ideal,signal-weighted,6,0.2572147683279127,7.688532182220106,-0.012498709367755878,1.0,154.17668573394644
calm,E0_ideal,signal-weighted,7,0.2808297723002402,8.057008728223847,-0.007880708485661692,1.0,138.23267199497522
calm,E0_ideal,signal-weighted,8,0.24114653456890878,7.096940334159796,-0.01312707280136649,1.0,161.69477580736037
calm,E0_ideal,signal-weighted,9,0.3316391860104888,8.86107261798003,-0.009287160388481652,1.0,125.09531024594291
calm,E0_ideal,signal-weighted,10,0.24380149112757943,6.177434930506278,-0.013029103015539278,1.0,204.72477258123325
calm,E0_ideal,naive-momentum,1,0.3230803250275063,6.9962809760952585,-0.02938357521799473,1.0,249.40201371044338
calm,E0_ideal,naive-momentum,2,0.38991892129936256,7.818103848128399,-0.023560644197384684,1.0,240.74440639273936
calm,E0_ideal,naive-momentum,3,0.41354637379835046,8.602803094071774,-0.02352889537391023,1.0,161.38438817114883
calm,E0_ideal,naive-momentum,4,0.3799326460896806,7.959465588703722,-0.029659924530551995,1.0,205.7380851565561
calm,E0_ideal,naive-momentum,5,0.4472233470078837,9.659819865042866,-0.014740948030386725,1.0,189.40652145910244
calm,E0_ideal,naive-momentum,6,0.3999599495220516,8.378486406787042,-0.019495405431299462,1.0,216.90468807748127
calm,E0_ideal,naive-momentum,7,0.4235916980258867,10.035273370396206,-0.00933324976569283,1.0,163.1234071377765
calm,E0_ideal,naive-momentum,8,0.33959546691332476,8.342719293019192,-0.03142748611184165,1.0,219.11446972448556
calm,E0_ideal,naive-momentum,9,0.4644412486100238,9.57932436209359,-0.02439078545161233,1.0,206.80154621957854
calm,E0_ideal,naive-momentum,10,0.36707928511825827,7.376325071905835,-0.021529534920494253,1.0,255.4174517297044
calm,E0_ideal,mean-reversion,1,-0.15614311359412636,-5.141127806555112,-0.18161772314924873,1.0,175.3293422512453
calm,E0_ideal,mean-reversion,2,-0.20187408877018254,-5.976576118433419,-0.20581629147368197,1.0,137.29751001252382
calm,E0_ideal,mean-reversion,3,-0.21976788725409435,-8.08981422077455,-0.230560028359312,1.0,103.86119137541739
calm,E0_ideal,mean-reversion,4,-0.2080067642618123,-6.189533727146772,-0.21292266352093903,1.0,181.56757321606864
calm,E0_ideal,mean-reversion,5,-0.20018279725143429,-7.072465581927509,-0.20823284935835895,1.0,127.57367942046713
