timestamp,symbol,side,quantity,reference_price,fill_price,commission,bar_volume,bar_high,bar_low,bar_close,submitted_at,filled_at,trade_id,quote_qty,is_buyer_maker
2024-03-01T00:00:00.019000Z,BTCUSDT,sell,0.531,,61203.3,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:00.019000Z,4659223533,32498.9523,true
2024-03-01T00:00:00.195000Z,BTCUSDT,sell,0.017,,61207.9,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:00.195000Z,4659223607,1040.5343,true
2024-03-01T00:00:03.631000Z,BTCUSDT,buy,0.003,,61218.0,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:03.631000Z,4659223681,183.654,false
2024-03-01T00:00:03.824000Z,BTCUSDT,sell,0.097,,61208.2,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:03.824000Z,4659223755,5937.1954,true
2024-03-01T00:00:03.891000Z,BTCUSDT,buy,0.019,,61208.0,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:03.891000Z,4659223829,1162.952,false
2024-03-01T00:00:04.300000Z,BTCUSDT,buy,0.168,,61208.0,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:04.300000Z,4659223903,10282.944,false
2024-03-01T00:00:05.298000Z,BTCUSDT,sell,0.018,,61207.9,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:05.298000Z,4659223977,1101.7422,true
2024-03-01T00:00:05.872000Z,BTCUSDT,buy,0.007,,61212.3,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:05.872000Z,4659224051,428.4861,false
2024-03-01T00:00:07.359000Z,BTCUSDT,sell,0.003,,61212.2,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:07.359000Z,4659224125,183.6366,true
2024-03-01T00:00:07.503000Z,BTCUSDT,sell,0.003,,61202.0,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:07.503000Z,4659224199,183.606,true
2024-03-01T00:00:07.881000Z,BTCUSDT,buy,0.005,,61199.5,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:07.881000Z,4659224273,305.9975,false
2024-03-01T00:00:08.272000Z,BTCUSDT,buy,0.005,,61211.0,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:08.272000Z,4659224347,306.055,false
2024-03-01T00:00:08.384000Z,BTCUSDT,buy,0.015,,61212.4,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:08.384000Z,4659224421,918.186,false
2024-03-01T00:00:09.309000Z,BTCUSDT,buy,0.002,,61218.6,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:09.309000Z,4659224495,122.4372,false
2024-03-01T00:00:09.737000Z,BTCUSDT,buy,0.003,,61222.5,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:09.737000Z,4659224569,183.6675,false
2024-03-01T00:00:09.857000Z,BTCUSDT,buy,0.003,,61226.0,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:09.857000Z,4659224643,183.678,false
2024-03-01T00:00:10.015000Z,BTCUSDT,buy,0.209,,61229.7,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:10.015000Z,4659224717,12797.0073,false
2024-03-01T00:00:10.503000Z,BTCUSDT,sell,0.008,,61230.5,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:10.503000Z,4659224791,489.844,true
2024-03-01T00:00:11.707000Z,BTCUSDT,buy,0.295,,61231.1,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:11.707000Z,4659224865,18063.1745,false
2024-03-01T00:00:11.895000Z,BTCUSDT,buy,0.004,,61233.5,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:11.895000Z,4659224939,244.934,false
2024-03-01T00:00:12.423000Z,BTCUSDT,buy,0.016,,61235.1,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:12.423000Z,4659225013,979.7616,false
2024-03-01T00:00:14.200000Z,BTCUSDT,sell,0.015,,61236.4,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:14.200000Z,4659225087,918.546,true
2024-03-01T00:00:14.433000Z,BTCUSDT,sell,0.311,,61236.4,0,340.739,61275.30,61199.40,61274.40,,2024-03-01T00:00:14.433000Z,4659225161,19044.5204,true
