timestamp,symbol,bid,ask,bid_qty,ask_qty,transaction_time,event_time,update_id
2024-03-01T00:00:00.006000Z,BTCUSDT,61203.30000000,61203.40000000,2.65100000,2.55900000,2024-03-01T00:00:00.006000Z,2024-03-01T00:00:00.012000Z,4070922145555
2024-03-01T00:00:01.231000Z,BTCUSDT,61207.90000000,61208.00000000,11.56800000,0.01000000,2024-03-01T00:00:01.231000Z,2024-03-01T00:00:01.649000Z,4070922939693
2024-03-01T00:00:02.276000Z,BTCUSDT,61207.90000000,61208.00000000,11.54500000,0.04800000,2024-03-01T00:00:02.276000Z,2024-03-01T00:00:03.115000Z,4070923689395
2024-03-01T00:00:03.555000Z,BTCUSDT,61209.50000000,61209.70000000,0.51200000,0.01100000,2024-03-01T00:00:03.555000Z,2024-03-01T00:00:04.906000Z,4070924616177
2024-03-01T00:00:04.555000Z,BTCUSDT,61207.90000000,61208.00000000,1.72600000,6.06900000,2024-03-01T00:00:04.555000Z,2024-03-01T00:00:05.783000Z,4070924984112
2024-03-01T00:00:05.555000Z,BTCUSDT,61207.90000000,61208.00000000,2.81900000,1.44000000,2024-03-01T00:00:05.555000Z,2024-03-01T00:00:06.299000Z,4070925183508
2024-03-01T00:00:06.555000Z,BTCUSDT,61212.20000000,61212.30000000,3.82200000,3.16700000,2024-03-01T00:00:06.555000Z,2024-03-01T00:00:06.915000Z,4070925383205
2024-03-01T00:00:07.555000Z,BTCUSDT,61199.40000000,61199.50000000,1.98600000,5.44900000,2024-03-01T00:00:07.555000Z,2024-03-01T00:00:07.584000Z,4070925586501
2024-03-01T00:00:08.562000Z,BTCUSDT,61212.30000000,61212.40000000,7.65200000,1.66600000,2024-03-01T00:00:08.562000Z,2024-03-01T00:00:08.615000Z,4070925785047
2024-03-01T00:00:09.562000Z,BTCUSDT,61219.70000000,61219.80000000,5.97800000,0.13400000,2024-03-01T00:00:09.562000Z,2024-03-01T00:00:09.585000Z,4070925955621
2024-03-01T00:00:10.595000Z,BTCUSDT,61230.50000000,61230.60000000,2.44000000,4.09000000,2024-03-01T00:00:10.595000Z,2024-03-01T00:00:10.606000Z,4070926125748
2024-03-01T00:00:11.706000Z,BTCUSDT,61231.00000000,61231.10000000,9.90300000,0.80000000,2024-03-01T00:00:11.706000Z,2024-03-01T00:00:11.719000Z,4070926267656
2024-03-01T00:00:12.706000Z,BTCUSDT,61236.40000000,61236.50000000,7.76800000,0.49700000,2024-03-01T00:00:12.706000Z,2024-03-01T00:00:12.715000Z,4070926397746
2024-03-01T00:00:13.725000Z,BTCUSDT,61236.40000000,61236.50000000,9.22500000,3.10600000,2024-03-01T00:00:13.725000Z,2024-03-01T00:00:13.731000Z,4070926509998
2024-03-01T00:00:14.725000Z,BTCUSDT,61230.50000000,61230.60000000,3.55800000,1.38800000,2024-03-01T00:00:14.725000Z,2024-03-01T00:00:14.732000Z,4070926697275
2024-03-01T00:00:15.726000Z,BTCUSDT,61233.90000000,61234.00000000,2.77300000,0.49500000,2024-03-01T00:00:15.726000Z,2024-03-01T00:00:15.733000Z,4070926799149
2024-03-01T00:00:16.729000Z,BTCUSDT,61236.60000000,61236.70000000,4.18300000,3.38600000,2024-03-01T00:00:16.729000Z,2024-03-01T00:00:16.831000Z,4070926873207
2024-03-01T00:00:17.729000Z,BTCUSDT,61237.50000000,61237.60000000,5.27500000,0.67100000,2024-03-01T00:00:17.729000Z,2024-03-01T00:00:17.734000Z,4070926947990
2024-03-01T00:00:18.731000Z,BTCUSDT,61239.50000000,61239.60000000,6.00400000,0.08200000,2024-03-01T00:00:18.731000Z,2024-03-01T00:00:18.736000Z,4070927012847
2024-03-01T00:00:19.745000Z,BTCUSDT,61239.60000000,61239.70000000,4.78700000,0.29200000,2024-03-01T00:00:19.745000Z,2024-03-01T00:00:19.751000Z,4070927088224
2024-03-01T00:00:20.784000Z,BTCUSDT,61239.60000000,61239.70000000,5.68700000,0.16900000,2024-03-01T00:00:20.784000Z,2024-03-01T00:00:20.791000Z,4070927180844
2024-03-01T00:00:21.795000Z,BTCUSDT,61242.30000000,61242.40000000,4.91700000,3.77500000,2024-03-01T00:00:21.795000Z,2024-03-01T00:00:21.801000Z,4070927273889
2024-03-01T00:00:22.806000Z,BTCUSDT,61242.30000000,61242.40000000,2.71700000,3.44400000,2024-03-01T00:00:22.806000Z,2024-03-01T00:00:22.815000Z,4070927368964
2024-03-01T00:00:23.826000Z,BTCUSDT,61242.30000000,61242.40000000,3.19400000,3.99900000,2024-03-01T00:00:23.826000Z,2024-03-01T00:00:23.832000Z,4070927449563
2024-03-01T00:00:24.835000Z,BTCUSDT,61244.50000000,61244.60000000,3.09300000,4.48000000,2024-03-01T00:00:24.835000Z,2024-03-01T00:00:24.842000Z,4070927539998
2024-03-01T00:00:25.836000Z,BTCUSDT,61244.50000000,61244.60000000,6.37300000,3.02300000,2024-03-01T00:00:25.836000Z,2024-03-01T00:00:25.842000Z,4070927615452
2024-03-01T00:00:26.836000Z,BTCUSDT,61248.60000000,61248.90000000,3.39300000,0.11200000,2024-03-01T00:00:26.836000Z,2024-03-01T00:00:26.844000Z,4070927696972
2024-03-01T00:00:27.853000Z,BTCUSDT,61237.80000000,61238.10000000,0.00500000,2.90400000,2024-03-01T00:00:27.853000Z,2024-03-01T00:00:27.862000Z,4070927853117
2024-03-01T00:00:28.853000Z,BTCUSDT,61238.40000000,61238.50000000,0.93300000,0.16900000,2024-03-01T00:00:28.853000Z,2024-03-01T00:00:28.858000Z,4070928048716
2024-03-01T00:00:29.853000Z,BTCUSDT,61244.50000000,61244.60000000,4.72000000,2.06300000,2024-03-01T00:00:29.853000Z,2024-03-01T00:00:29.858000Z,4070928134687
2024-03-01T00:00:30.869000Z,BTCUSDT,61244.50000000,61244.60000000,4.95100000,0.68200000,2024-03-01T00:00:30.869000Z,2024-03-01T00:00:30.875000Z,4070928228662
2024-03-01T00:00:31.907000Z,BTCUSDT,61244.50000000,61244.60000000,3.07800000,4.12600000,2024-03-01T00:00:31.907000Z,2024-03-01T00:00:31.920000Z,4070928307355
2024-03-01T00:00:32.907000Z,BTCUSDT,61241.90000000,61242.00000000,5.80000000,6.13600000,2024-03-01T00:00:32.907000Z,2024-03-01T00:00:32.918000Z,4070928416322
2024-03-01T00:00:33.944000Z,BTCUSDT,61241.90000000,61242.00000000,4.71400000,3.30300000,2024-03-01T00:00:33.944000Z,2024-03-01T00:00:33.949000Z,4070928482885
2024-03-01T00:00:35.062000Z,BTCUSDT,61241.90000000,61242.00000000,3.26400000,1.99900000,2024-03-01T00:00:35.062000Z,2024-03-01T00:00:35.068000Z,4070928555694
2024-03-01T00:00:36.070000Z,BTCUSDT,61241.90000000,61242.00000000,2.51100000,2.37000000,2024-03-01T00:00:36.070000Z,2024-03-01T00:00:36.074000Z,4070928606849
2024-03-01T00:00:37.072000Z,BTCUSDT,61241.90000000,61242.00000000,2.94600000,3.27400000,2024-03-01T00:00:37.072000Z,2024-03-01T00:00:37.076000Z,4070928662879
2024-03-01T00:00:38.074000Z,BTCUSDT,61231.90000000,61232.00000000,0.00200000,5.91200000,2024-03-01T00:00:38.074000Z,2024-03-01T00:00:38.084000Z,4070928821607
2024-03-01T00:00:39.118000Z,BTCUSDT,61245.00000000,61245.10000000,9.12700000,0.00500000,2024-03-01T00:00:39.118000Z,2024-03-01T00:00:39.123000Z,4070928971022
2024-03-01T00:00:40.122000Z,BTCUSDT,61247.60000000,61247.70000000,5.53000000,0.24200000,2024-03-01T00:00:40.122000Z,2024-03-01T00:00:40.127000Z,4070929052711
2024-03-01T00:00:41.122000Z,BTCUSDT,61247.60000000,61247.70000000,5.48300000,0.12000000,2024-03-01T00:00:41.122000Z,2024-03-01T00:00:41.128000Z,4070929120918
2024-03-01T00:00:42.122000Z,BTCUSDT,61247.70000000,61247.80000000,6.82600000,0.01000000,2024-03-01T00:00:42.122000Z,2024-03-01T00:00:42.126000Z,4070929173858
2024-03-01T00:00:43.123000Z,BTCUSDT,61251.10000000,61251.20000000,8.08600000,0.63700000,2024-03-01T00:00:43.123000Z,2024-03-01T00:00:43.128000Z,4070929246248
2024-03-01T00:00:44.123000Z,BTCUSDT,61251.60000000,61251.70000000,10.43500000,0.16600000,2024-03-01T00:00:44.123000Z,2024-03-01T00:00:44.131000Z,4070929320920
2024-03-01T00:00:45.150000Z,BTCUSDT,61251.60000000,61251.70000000,7.79800000,0.00200000,2024-03-01T00:00:45.150000Z,2024-03-01T00:00:45.153000Z,4070929375771
2024-03-01T00:00:46.152000Z,BTCUSDT,61241.90000000,61242.00000000,0.35300000,8.91000000,2024-03-01T00:00:46.152000Z,2024-03-01T00:00:46.157000Z,4070929488281
2024-03-01T00:00:47.197000Z,BTCUSDT,61241.90000000,61242.00000000,4.69900000,0.55500000,2024-03-01T00:00:47.197000Z,2024-03-01T00:00:47.204000Z,4070929608767
2024-03-01T00:00:48.199000Z,BTCUSDT,61247.30000000,61247.40000000,4.25800000,0.00600000,2024-03-01T00:00:48.199000Z,2024-03-01T00:00:48.204000Z,4070929716683
2024-03-01T00:00:49.212000Z,BTCUSDT,61247.80000000,61247.90000000,4.77600000,0.11400000,2024-03-01T00:00:49.212000Z,2024-03-01T00:00:49.218000Z,4070929775504
2024-03-01T00:00:50.237000Z,BTCUSDT,61252.60000000,61252.70000000,6.92900000,0.05500000,2024-03-01T00:00:50.237000Z,2024-03-01T00:00:50.242000Z,4070929835384
2024-03-01T00:00:51.238000Z,BTCUSDT,61257.00000000,61257.10000000,0.36500000,0.10600000,2024-03-01T00:00:51.238000Z,2024-03-01T00:00:51.245000Z,4070929907611
2024-03-01T00:00:52.266000Z,BTCUSDT,61258.90000000,61259.00000000,4.45600000,1.32000000,2024-03-01T00:00:52.266000Z,2024-03-01T00:00:52.273000Z,4070929981675
2024-03-01T00:00:53.269000Z,BTCUSDT,61260.30000000,61260.40000000,7.20000000,1.06300000,2024-03-01T00:00:53.269000Z,2024-03-01T00:00:53.276000Z,4070930042768
2024-03-01T00:00:54.281000Z,BTCUSDT,61260.30000000,61260.40000000,7.56700000,0.62100000,2024-03-01T00:00:54.281000Z,2024-03-01T00:00:54.284000Z,4070930099562
2024-03-01T00:00:55.283000Z,BTCUSDT,61261.40000000,61261.50000000,6.26500000,0.20100000,2024-03-01T00:00:55.283000Z,2024-03-01T00:00:55.291000Z,4070930162850
