scenario,n_models,tau_b_E0_vs_E1,note
calm,5,1.000,"separated rows: uniform compression, no reorder"
highvol,5,1.000,"separated rows: uniform compression, no reorder"
jumptail,5,0.800,near-tied flagship rows swap the top spot
