scenario,level,agent,seed,sample,total_return,sharpe,max_drawdown,execution_fill_rate,total_slippage_cost,turnover_events
high_vol,E0_ideal,buy-and-hold,101,0,0.23273677701682383,15.939627020875458,-0.011514175901761625,0.9166666666666666,22.36437285484759,33
high_vol,E0_ideal,buy-and-hold,102,0,0.025070691709217607,2.695406511793479,-0.037118902488631145,0.8888888888888888,23.03141996861287,32
high_vol,E0_ideal,buy-and-hold,103,0,0.08810342734991194,12.264335128349092,-0.010008541111806712,0.8611111111111112,22.962768421195634,31
high_vol,E0_ideal,buy-and-hold,104,0,0.12559728982416285,11.940671384243085,-0.024832251308601117,0.8611111111111112,22.021968486369097,31
high_vol,E0_ideal,buy-and-hold,105,0,0.16053485291118852,12.249964543126925,-0.012861551629347212,0.8333333333333334,22.809864364632034,30
high_vol,E0_ideal,buy-and-hold,106,0,0.11823732022955102,12.439573335326868,-0.014178060652699331,0.8857142857142857,23.46400460250556,31
high_vol,E0_ideal,buy-and-hold,107,0,0.11403814187197336,10.630253127034553,-0.00916418239254757,0.8787878787878788,23.488920879202702,29
high_vol,E0_ideal,buy-and-hold,108,0,0.19180444836460286,24.643520953485172,0.0,0.9411764705882353,22.65090012176176,32
high_vol,E0_ideal,buy-and-hold,109,0,0.16329260600000772,15.479948419897847,-0.02487496448714943,0.9444444444444444,23.251410988755232,34
high_vol,E0_ideal,buy-and-hold,110,0,0.31622284340475226,25.587777108982944,0.0,0.8823529411764706,23.042064976433846,30
high_vol,E0_ideal,signal-weighted,101,0,0.05136489478819506,11.546182302870301,-5.030772745662215e-05,1.0,65.78057954750977,21
high_vol,E0_ideal,signal-weighted,102,0,0.012186598640943513,11.14928156666487,-0.00010500700000004581,1.0,28.34679063269941,16
high_vol,E0_ideal,signal-weighted,103,0,0.003195703338204625,7.400154166676833,-0.00030325875002268354,1.0,16.800928296139023,13
high_vol,E0_ideal,signal-weighted,104,0,0.031510405800910135,9.356747382231164,-0.00010500699999993479,1.0,31.698201746383553,17
high_vol,E0_ideal,signal-weighted,105,0,0.04365606717384196,9.81126245204799,-0.00023351171626617706,1.0,35.27874523253963,17
high_vol,E0_ideal,signal-weighted,106,0,0.04589828760640291,7.005412331342277,-0.0018508937693627603,1.0,31.718486385759984,16
high_vol,E0_ideal,signal-weighted,107,0,0.027360690256574394,3.7774918456257707,-0.006256922352395833,1.0,32.21409593154871,17
high_vol,E0_ideal,signal-weighted,108,0,0.044302471163119694,10.13423478142454,-5.030772745662215e-05,0.9523809523809523,62.83156535024954,20
high_vol,E0_ideal,signal-weighted,109,0,0.0007240903814154098,0.19559144004071607,-0.020372596903183826,0.9411764705882353,33.512785550354415,16
high_vol,E0_ideal,signal-weighted,110,0,0.036970670516905724,12.47641752622809,-0.00010500700000004581,0.8823529411764706,34.468824135843164,15
high_vol,E0_ideal,naive-momentum,101,0,0.13320880707210447,15.13756073651852,-0.011123676370357383,1.0,47.358200330187074,31
high_vol,E0_ideal,naive-momentum,102,0,-0.01459855656845932,-3.894168245435886,-0.029608271287663412,1.0,58.520423268225464,21
high_vol,E0_ideal,naive-momentum,103,0,0.057730481930235555,10.462048977146011,-0.0055507565120321845,1.0,44.88955381813797,20
high_vol,E0_ideal,naive-momentum,104,0,0.09057809714748255,13.713694967645038,-0.006041343135087307,1.0,50.86783311772565,26
high_vol,E0_ideal,naive-momentum,105,0,0.09618933020297904,10.280520768047658,-0.01378635073098311,1.0,61.9715622741327,29
high_vol,E0_ideal,naive-momentum,106,0,0.12338322220288034,15.633171988875212,-0.00940969614525533,1.0,27.871032327310836,22
high_vol,E0_ideal,naive-momentum,107,0,0.08747462676935891,9.520079115715642,-0.005523257961161265,1.0,58.10905462136278,27
high_vol,E0_ideal,naive-momentum,108,0,0.11821890183392147,17.95828942725932,-0.0010589419328326244,1.0,39.45369792319387,30
