scenario_id,contamination_tier,baseline_level,comparison_level,agent_count,rank_metric,kendall_tau,top_k,top_k_jaccard,mean_return_delta_vs_e0,mean_fill_rate_delta_vs_e0,mean_intent_execution_gap_delta_vs_e0,mean_slippage_delta_vs_e0
synthetic_calm_trend_c0_v0_3,C0,E0,E1,7,sharpe_mean,0.904762,3,1.0,-0.012644,-0.099502,0.19238,1148.433366
synthetic_calm_trend_c0_v0_3,C0,E0,E2,7,sharpe_mean,0.809524,3,1.0,-0.020195,-0.381028,0.303808,1267.028981
