scenario,level,agent,seed,sample,total_return,sharpe,max_drawdown,execution_fill_rate,total_slippage_cost,turnover_events
high_vol,E0_ideal,buy-and-hold,101,0,0.025377472441092452,0.6882856449656649,-0.15318786007880136,1.0,26.300479687853205,116
high_vol,E0_ideal,buy-and-hold,102,0,0.20363763861758954,3.563005069127787,-0.144756604959272,1.0,28.81294145227279,119
high_vol,E0_ideal,buy-and-hold,103,0,0.08412132122776139,1.7726563764760734,-0.13274051314636293,1.0,27.789163867329577,117
high_vol,E0_ideal,buy-and-hold,104,0,0.3499009603859171,6.835516367576016,-0.08441137793741094,1.0,26.938431864521327,117
high_vol,E0_ideal,buy-and-hold,105,0,0.23511252825974882,3.905595869319818,-0.16395577097348257,1.0,27.19781972958695,113
high_vol,E0_ideal,buy-and-hold,106,0,0.41685838695771893,7.274971907497935,-0.04996370236495884,1.0,28.87061172699646,114
high_vol,E0_ideal,buy-and-hold,107,0,0.25235908814943264,5.395331621772031,-0.06946368148146886,1.0,26.421202593700453,115
high_vol,E0_ideal,buy-and-hold,108,0,0.4137666885410469,7.1878049984473495,-0.08111412971998211,1.0,27.438370131012064,115
high_vol,E0_ideal,buy-and-hold,109,0,0.5127236810548723,8.680531817855329,-0.05512500090203176,1.0,28.266960280446114,115
high_vol,E0_ideal,buy-and-hold,110,0,0.27493795246590724,4.234478809265713,-0.07397688029263039,1.0,27.531883154044905,118
high_vol,E0_ideal,glm:glm-5,101,0,0.07664082022466578,2.392521742144523,-0.07882106478084072,1.0,463.2657580209444,87
high_vol,E0_ideal,glm:glm-5,102,0,0.25845811309511446,5.301725738290881,-0.05233553239131006,1.0,339.55986655979626,93
high_vol,E0_ideal,glm:glm-5,103,0,0.06924407104944552,2.07103630396531,-0.05511548800542232,1.0,426.43594848946515,88
high_vol,E0_ideal,glm:glm-5,104,0,0.2917395291565461,6.773823928478794,-0.04545287987993796,1.0,426.8498733476758,95
high_vol,E0_ideal,glm:glm-5,105,0,0.2686793566485406,5.8597669328065045,-0.060125523042313445,1.0,432.76959347506664,96
high_vol,E0_ideal,glm:glm-5,106,0,0.3025587405838417,5.971288431764936,-0.0420549829635839,1.0,470.54741228887235,101
high_vol,E0_ideal,glm:glm-5,107,0,0.24739754777207978,6.740550033728193,-0.03465307289788577,1.0,361.1924110632901,100
high_vol,E0_ideal,glm:glm-5,108,0,0.29092780204698565,6.912931710822605,-0.04989445232486833,1.0,407.22402260347894,98
high_vol,E0_ideal,glm:glm-5,109,0,0.43008015570155655,8.847423179844805,-0.039699317945570245,1.0,438.7877121768861,102
high_vol,E0_ideal,glm:glm-5,110,0,0.234184657989994,4.3511143230807985,-0.06355110298044708,1.0,509.66666276118696,97
high_vol,E1_default_stress,buy-and-hold,101,0,-0.04339231814594302,-0.9577737940337138,-0.16416536275741334,0.9666666666666667,2939.416878503915,116
high_vol,E1_default_stress,buy-and-hold,102,0,0.20454010392399757,3.298939294782762,-0.17187424658264405,0.9583333333333334,5220.275822868855,115
high_vol,E1_default_stress,buy-and-hold,103,0,0.1672805477903727,2.9088143558414763,-0.1141965955923232,0.9583333333333334,4604.114173018889,115
high_vol,E1_default_stress,buy-and-hold,104,0,0.3072434094150027,5.686096138345445,-0.09817575603143824,0.9583333333333334,4255.038532313918,115
high_vol,E1_default_stress,buy-and-hold,105,0,0.28239708236515115,3.998051050916038,-0.16711677006319858,0.9663865546218487,5019.333831239814,115
high_vol,E1_default_stress,buy-and-hold,106,0,0.44742712655028916,6.689915036300137,-0.06442888869786301,0.9663865546218487,4740.039626361732,115
high_vol,E1_default_stress,buy-and-hold,107,0,0.1101801746139579,2.1464547344572042,-0.11252849120534991,0.975,4108.206051041541,117
high_vol,E1_default_stress,buy-and-hold,108,0,0.34008452950264534,5.586831676273952,-0.09314313626753778,0.9747899159663865,4022.1842482124625,116
high_vol,E1_default_stress,buy-and-hold,109,0,0.3778768837947153,5.678427725738525,-0.08639227076120448,0.9663865546218487,4474.694954408814,115
high_vol,E1_default_stress,buy-and-hold,110,0,0.23956106618877815,3.3120155212007414,-0.1100694185482809,0.957983193277311,4473.481511481784,114
high_vol,E1_default_stress,glm:glm-5,101,0,0.07082448631501403,2.0213831619147435,-0.06718277335573741,0.8705882352941177,5319.180833750155,74
high_vol,E1_default_stress,glm:glm-5,102,0,0.14245200233110267,3.388707832824474,-0.09489332978675069,0.8804347826086957,6102.843103732274,81
high_vol,E1_default_stress,glm:glm-5,103,0,-0.057303893696497576,-1.2579733450985178,-0.1657946263403921,0.865979381443299,5439.914911127459,84
high_vol,E1_default_stress,glm:glm-5,104,0,0.31755686919708426,6.6702640796583985,-0.05942913565354346,0.88,5663.368654703932,88
high_vol,E1_default_stress,glm:glm-5,105,0,0.2273071535730491,4.806704431289435,-0.0935569806838612,0.8899082568807339,5612.166305624916,97
high_vol,E1_default_stress,glm:glm-5,106,0,0.2224991710507418,4.258964910738504,-0.06547280329981098,0.8857142857142857,7266.052042370816,93
high_vol,E1_default_stress,glm:glm-5,107,0,0.07938901667563036,1.869896554172549,-0.1031345879821216,0.9166666666666666,6165.1767860173695,99
high_vol,E1_default_stress,glm:glm-5,108,0,0.2673427900041645,5.509605603447599,-0.07189118527705995,0.8585858585858586,7008.888906801539,85
high_vol,E1_default_stress,glm:glm-5,109,0,0.2573115701071149,4.250639423292462,-0.10479113753658509,0.8909090909090909,8582.232652219362,98
high_vol,E1_default_stress,glm:glm-5,110,0,0.14777494758434928,2.504654292360808,-0.109326671278685,0.8686868686868687,6319.310878112676,86
