metric,estimand,estimate,ci95_low,ci95_high,seed_clusters,base_pairs,bootstrap_draws,cluster_se,t9_ci_low,t9_ci_high,leave_one_seed_low,leave_one_seed_high
total_return,execution_within_I0,-0.019335349143726668,-0.027294827555401167,-0.012122457652053335,10,450,10000,0.004093188390459919,-0.028594784580116814,-0.01007591370733652,-0.021114132776681484,-0.01673225457348395
total_return,execution_within_I1,-0.0146661792514,-0.019680467780866278,-0.010034578982644446,10,450,10000,0.0025718156375128605,-0.0204840304173399,-0.0088483280854601,-0.015786993827012347,-0.01320614697888395
total_return,response_origin_within_X0,0.0011833316485177774,-0.0075435742660455,0.010135879237693832,10,450,10000,0.004752057028858341,-0.009566568197605287,0.011933231494640841,-0.001093623137266667,0.00348466118871358
total_return,response_origin_within_X1,0.005852501540844445,-0.005312306706662555,0.017589682304670656,10,450,10000,0.006224264332459127,-0.008227762602325259,0.01993276568401415,0.001833154303876544,0.008735538036222222
total_return,interaction,0.004669169892326667,-0.0005035441967644447,0.01053337952005778,10,450,10000,0.0030365250530753445,-0.002199927006673647,0.011538266791326982,0.002764855079148149,0.00600798199400247
total_return,execution_shapley,-0.017000764197563335,-0.02299372791417583,-0.011650134536446864,10,450,10000,0.003062530381414561,-0.02392868923633858,-0.01007283915878809,-0.018110141779680247,-0.015190244580013581
total_return,response_origin_shapley,0.003517916594681111,-0.006112342224781112,0.013555357517697335,10,450,10000,0.005325094848304006,-0.00852828485928726,0.015564118048649482,0.00045072676430246944,0.006110099612467901
total_return,observed_diagonal,-0.013482847602882223,-0.02384904395361556,-0.0025035929123643345,10,450,10000,0.005733005892718136,-0.026451807947779314,-0.0005138872579851326,-0.01671869460228395,-0.010529561609953086
sharpe,execution_within_I0,-3.394372034053407,-3.8297253102729654,-3.014210842581058,10,450,10000,0.21988814414069335,-3.891793574347971,-2.896950493758843,-3.4792009574768445,-3.2400554974418023
sharpe,execution_within_I1,-1.9269485952657868,-2.471163854641083,-1.3757024743710462,10,450,10000,0.29620348364833887,-2.597007427463214,-1.2568897630683598,-2.1130499673827603,-1.764798393789889
