model_id,scenario_id,metric,estimand,estimate,base_pairs,seed_clusters
deepseek-v4-pro,synthetic_calm_trend_c0_v0_3,total_return,execution_within_I1,0.0,30,10
deepseek-v4-pro,synthetic_calm_trend_c0_v0_3,total_return,response_origin_within_X0,0.0,30,10
deepseek-v4-pro,synthetic_calm_trend_c0_v0_3,total_return,response_origin_within_X1,0.0,30,10
deepseek-v4-pro,synthetic_calm_trend_c0_v0_3,total_return,interaction,0.0,30,10
deepseek-v4-pro,synthetic_calm_trend_c0_v0_3,total_return,execution_shapley,0.0,30,10
deepseek-v4-pro,synthetic_calm_trend_c0_v0_3,total_return,response_origin_shapley,0.0,30,10
deepseek-v4-pro,synthetic_calm_trend_c0_v0_3,total_return,observed_diagonal,0.0,30,10
deepseek-v4-pro,synthetic_calm_trend_c0_v0_3,sharpe,execution_within_I0,0.0,30,10
deepseek-v4-pro,synthetic_calm_trend_c0_v0_3,sharpe,execution_within_I1,0.0,30,10
deepseek-v4-pro,synthetic_calm_trend_c0_v0_3,sharpe,response_origin_within_X0,0.0,30,10
deepseek-v4-pro,synthetic_calm_trend_c0_v0_3,sharpe,response_origin_within_X1,0.0,30,10
deepseek-v4-pro,synthetic_calm_trend_c0_v0_3,sharpe,interaction,0.0,30,10
deepseek-v4-pro,synthetic_calm_trend_c0_v0_3,sharpe,execution_shapley,0.0,30,10
deepseek-v4-pro,synthetic_calm_trend_c0_v0_3,sharpe,response_origin_shapley,0.0,30,10
deepseek-v4-pro,synthetic_calm_trend_c0_v0_3,sharpe,observed_diagonal,0.0,30,10
deepseek-v4-pro,synthetic_high_volatility_c0_v0_3,total_return,execution_within_I0,0.0,30,10
deepseek-v4-pro,synthetic_high_volatility_c0_v0_3,total_return,execution_within_I1,0.0,30,10
deepseek-v4-pro,synthetic_high_volatility_c0_v0_3,total_return,response_origin_within_X0,0.0,30,10
deepseek-v4-pro,synthetic_high_volatility_c0_v0_3,total_return,response_origin_within_X1,0.0,30,10
deepseek-v4-pro,synthetic_high_volatility_c0_v0_3,total_return,interaction,0.0,30,10
deepseek-v4-pro,synthetic_high_volatility_c0_v0_3,total_return,execution_shapley,0.0,30,10
deepseek-v4-pro,synthetic_high_volatility_c0_v0_3,total_return,response_origin_shapley,0.0,30,10
deepseek-v4-pro,synthetic_high_volatility_c0_v0_3,total_return,observed_diagonal,0.0,30,10
deepseek-v4-pro,synthetic_high_volatility_c0_v0_3,sharpe,execution_within_I0,0.0,30,10
deepseek-v4-pro,synthetic_high_volatility_c0_v0_3,sharpe,execution_within_I1,0.0,30,10
deepseek-v4-pro,synthetic_high_volatility_c0_v0_3,sharpe,response_origin_within_X0,0.0,30,10
deepseek-v4-pro,synthetic_high_volatility_c0_v0_3,sharpe,response_origin_within_X1,0.0,30,10
deepseek-v4-pro,synthetic_high_volatility_c0_v0_3,sharpe,interaction,0.0,30,10
deepseek-v4-pro,synthetic_high_volatility_c0_v0_3,sharpe,execution_shapley,0.0,30,10
deepseek-v4-pro,synthetic_high_volatility_c0_v0_3,sharpe,response_origin_shapley,0.0,30,10
deepseek-v4-pro,synthetic_high_volatility_c0_v0_3,sharpe,observed_diagonal,0.0,30,10
deepseek-v4-pro,synthetic_jump_tail_c0_v0_3,total_return,execution_within_I0,0.0012344034053999998,30,10
deepseek-v4-pro,synthetic_jump_tail_c0_v0_3,total_return,execution_within_I1,0.0,30,10
