scope,value,pairs,first_prompt_equal_rate,first_response_hash_equal_rate,first_parsed_response_equal_rate,full_response_path_equal_rate,full_parsed_response_path_equal_rate,full_pre_risk_decision_path_equal_rate,mean_first_parsed_divergence_step
overall,all,450,1,0.4488888888888889,0.5088888888888888,0.008888888888888889,0.19777777777777777,0.19777777777777777,0.5373961218836565
model,deepseek-v4-flash,90,1,0.6222222222222222,0.6666666666666666,0,0,0,1.0222222222222221
model,deepseek-v4-pro,90,1,0.9,1,0.044444444444444446,0.9888888888888889,0.9888888888888889,7
model,glm-5,90,1,0.23333333333333334,0.24444444444444444,0,0,0,0.24444444444444444
model,glm-5-turbo,90,1,0.37777777777777777,0.3888888888888889,0,0,0,0.5666666666666667
model,glm-5.2,90,1,0.1111111111111111,0.24444444444444444,0,0,0,0.24444444444444444
scenario,synthetic_calm_trend_c0_v0_3,150,1,0.38666666666666666,0.43333333333333335,0.02,0.2,0.2,0.5416666666666666
scenario,synthetic_high_volatility_c0_v0_3,150,1,0.47333333333333333,0.5266666666666666,0,0.2,0.2,0.43333333333333335
scenario,synthetic_jump_tail_c0_v0_3,150,1,0.4866666666666667,0.5666666666666667,0.006666666666666667,0.19333333333333333,0.19333333333333333,0.6363636363636364
