auditor,clean_recall,clean_n,confounded_recall,confounded_n,drop,discordant_clean_hit,discordant_conf_hit,mcnemar_p,conf_miss_mislabel_rate
deepseek:deepseek-v4-pro,1.000,40,0.800,40,+0.200,8,0,0.007812,1.000
glm:glm-5,1.000,40,0.475,40,+0.525,21,0,9.537e-07,1.000
poe:claude-opus-4.7,1.000,40,0.500,40,+0.500,20,0,1.907e-06,1.000
poe:gemini-3.1-pro,0.775,40,0.325,40,+0.450,20,2,0.0001211,0.926
