auditor,n_per_cell,self_recall,cross_recall,gap_cross_minus_self,fisher_p,approx_mde
deepseek:deepseek-v4-pro,120,0.7,0.667,-0.033,0.677,0.168
glm:glm-5,120,0.583,0.583,0.0,1.000,0.178
