Date,Open,High,Low,Close,Volume
2021-05-03,56985.0,59305.0,56380.0,57765.0,5621.0
2021-05-04,57390.0,57755.0,53220.0,54515.0,8065.0
2021-05-05,54365.0,58110.0,52830.0,57295.0,6056.0
2021-05-06,56950.0,58600.0,55255.0,56180.0,5933.0
2021-05-07,56350.0,58845.0,55340.0,57760.0,4969.0
2021-05-10,58200.0,59900.0,53595.0,55705.0,7951.0
2021-05-11,55690.0,57075.0,54375.0,56805.0,5353.0
2021-05-12,56735.0,58140.0,53355.0,54445.0,8665.0
2021-05-13,54545.0,54605.0,46395.0,48365.0,14808.0
2021-05-14,49215.0,51475.0,48370.0,50190.0,5432.0
2021-05-17,45295.0,46620.0,42050.0,44060.0,11148.0
2021-05-18,43500.0,45755.0,42280.0,43150.0,8310.0
2021-05-19,42915.0,43530.0,30205.0,39340.0,26734.0
2021-05-20,38925.0,42420.0,34950.0,40320.0,13391.0
2021-05-21,40720.0,42370.0,35135.0,36085.0,12908.0
2021-05-24,34280.0,39950.0,33720.0,39750.0,10870.0
2021-05-25,38540.0,39885.0,36555.0,37330.0,8766.0
2021-05-26,38055.0,40895.0,37875.0,38545.0,9284.0
2021-05-27,39025.0,40435.0,37270.0,38845.0,6239.0
2021-05-28,38800.0,39180.0,35160.0,36841.3515625,8101.0
2021-06-01,35905.0,37985.0,34250.0,35990.0,8098.0
2021-06-02,36205.0,38340.0,35940.0,38040.0,4028.0
2021-06-03,37835.0,39560.0,37255.0,38715.0,4312.0
2021-06-04,38840.0,39330.0,35590.0,36955.0,8164.0
2021-06-07,36205.0,37015.0,34000.0,35645.0,6680.0
2021-06-08,34130.0,34295.0,30915.0,32910.0,11212.0
2021-06-09,33485.0,36945.0,32420.0,36375.0,8450.0
2021-06-10,36610.0,38460.0,35815.0,36690.0,6676.0
2021-06-11,36725.0,37700.0,35955.0,37325.0,3333.0
2021-06-14,38900.0,41070.0,38705.0,39710.0,5935.0
2021-06-15,40250.0,41335.0,39565.0,39995.0,4180.0
2021-06-16,40025.0,40480.0,38270.0,38565.0,6334.0
2021-06-17,38550.0,39535.0,37315.0,37665.0,5646.0
2021-06-18,37695.0,38175.0,35100.0,35285.0,5719.0
2021-06-21,35555.0,35790.0,31715.0,32560.0,9302.0
2021-06-22,31700.0,33310.0,28800.0,32480.0,14889.0
2021-06-23,32560.0,34835.0,31780.0,32900.0,7184.0
2021-06-24,33220.0,35245.0,32330.0,34805.0,6210.0
